failure_mode_id,name_ja,name_en,category,applies_to_method_ids,applies_to_problem_ids,symptoms,root_causes,diagnostic_ids,severity,impact,prevention,remediation,switch_condition,source_ids,confidence,last_verified
\SFM001,\Sgradient実装誤り,\SIncorrect gradient,\Sderivative,\SM_BFGS;M_LBFGS;M_SQP;M_INTERIOR_POINT_NLP,\S,\Sgradient check不一致、line search失敗,\Schain rule、index、sign、batch aggregation誤り,\SD001,\Scritical,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Sdirectional checkとunit test,\Sderivative修正、AD比較,\S修正不能ならDFOへ,\SS002;S056,\Shigh,\S2026-07-13
\SFM002,\S数値微分step不適切,\SBad finite-difference step,\Sderivative,\SM_BFGS;M_LBFGSB;M_SLSQP,\S,\S勾配がstepで大きく変動,\Struncation/roundoff/scale不一致,\SD005,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Sstep sweep、scale,\Scomplex-step/AD/scale-aware差分,\S安定領域なしならDFO,\SS002;S056,\Shigh,\S2026-07-13
\SFM003,\Snoiseが微分を支配,\SNoise-dominated derivative,\Snoise,\SM_NEWTON;M_BFGS;M_SLSQP,\S,\Sgradient符号がreplicateで変わる,\S評価noiseが差分/改善より大きい,\SD006,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Sreplication/CRN,\Ssample average、SPSA、noise-aware method,\S必要評価数がbudget超ならBO/DFO,\SS059,\Shigh,\S2026-07-13
\SFM004,\SNaN/Inf評価,\SNon-finite evaluation,\Sevaluation,\Sall,\S,\Ssolver例外、step rejection、model破損,\Sdomain error、overflow、inner failure,\SD027,\Scritical,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Ssafe domain tests,\Sguard、stable formula、failure status,\S頻発なら可行性model/MADS,\SS002;S031,\Shigh,\S2026-07-13
\SFM005,\S評価失敗を巨大penaltyだけで隠す,\SMasked evaluation failures,\Sevaluation,\SM_BAYESIAN_OPT_GP;M_CMA_ES;M_MADS,\S,\S境界に不自然なcliff,\S失敗原因をobjective値へ潰した,\SD025,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Sfailure code保存,\Sfeasibility classifier/progressive barrier,\S可行率低ならphase-I,\SS031;S035,\Shigh,\S2026-07-13
\SFM006,\Stimeout bias,\STimeout bias,\Sevaluation,\SM_TPE;M_SMAC_RF;M_BAYESIAN_OPT_GP,\S,\S遅いtrialが一律悪評価,\Scensored observationの誤処理,\SD026,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Scutoff policy,\Scensor-aware model/resource scheduler,\Stimeout率高ならsearch space縮小,\SS037;S038,\Shigh,\S2026-07-13
\SFM007,\S変数scale不良,\SPoor variable scaling,\Snumerical,\SM_BFGS;M_SLSQP;M_COBYLA;M_CMA_ES,\S,\Sstepが一部変数だけ動く,\Sunit/桁差,\SD007,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Snondimensionalization,\S変数変換/solver scaling,\S改善しなければpreconditioned/HVP法,\SS056,\Shigh,\S2026-07-13
\SFM008,\S目的項のweight不良,\SPoor objective weighting,\Snumerical,\Sall,\S,\S一項だけ改善し他が無視,\S単位・penalty・regularization不整合,\SD036,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Sterm magnitude/gradient監査,\Snormalize、weight sensitivity,\Strade-offならmultiobjectiveへ,\SS055;S056,\Shigh,\S2026-07-13
\SFM009,\S悪条件,\SIll conditioning,\Snumerical,\SM_NEWTON;M_GAUSS_NEWTON;M_INTERIOR_POINT_NLP,\S,\S極端に遅い、方向不安定,\SHessian/Jacobian/KKTの条件数大,\SD008,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Scondition estimate,\Sscaling、regularization、preconditioner,\Sfirst-order/prox/reparameterize,\SS056,\Shigh,\S2026-07-13
\SFM010,\Srank落ち・非識別,\SRank deficiency/non-identifiability,\Snumerical,\SM_GAUSS_NEWTON;M_LEVENBERG_MARQUARDT,\S,\Smultiple solutions、covariance巨大,\SJacobian column dependence,\SD009,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\SSVD/rank,\Sregularize、fix parameters、new data,\S不確実性が目的ならBayes/stat inference,\SS003;S041,\Shigh,\S2026-07-13
\SFM011,\S初期可行点問題,\SBad or infeasible start,\Sconstraint,\SM_SQP;M_ACTIVE_SET;M_INTERIOR_POINT_NLP,\S,\Sconstraint violationが減らない,\S初期値がdomain外、solver要件未充足,\SD002,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Sphase-I,\Sfeasible generator、slacks,\SMADS/ALM/phase-Iへ,\SS017;S056,\Shigh,\S2026-07-13
\SFM012,\Sconstraint qualification破綻,\SConstraint qualification failure,\Sconstraint,\SM_SQP;M_INTERIOR_POINT_NLP,\S,\Smultiplier不安定、KKT singular,\Sactive constraint勾配依存,\SD003,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Sactive Jacobian rank,\Sremove redundancy、reformulate,\Snonsmooth/complementarity専用法,\SS056,\Shigh,\S2026-07-13
\SFM013,\S冗長制約,\SRedundant constraints,\Sconstraint,\SM_INTERIOR_POINT_NLP;M_BRANCH_CUT,\S,\Sfactorization singular、slow presolve,\S同等/従属制約,\SD009,\Swarning,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Srank/presolve report,\Sconstraint cleanup,\Ssolver presolve比較,\SS016;S056,\Shigh,\S2026-07-13
\SFM014,\S不整合制約,\SInconsistent constraints,\Sconstraint,\Sall constrained,\S,\Sinfeasible status、phase-I正,\Sデータ/logic矛盾,\SD037,\Scritical,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\SIIS/phase-I,\Sisolate constraints、relax with costs,\Soptimization前にmodel修正,\SS016;S021;S024,\Shigh,\S2026-07-13
\SFM015,\Sconstraint violation見落とし,\SIgnored constraint violation,\Sreporting,\SM_SLSQP;M_COBYLA;M_INTERIOR_POINT_NLP,\S,\Ssuccessだが元式で不可行,\Sstatus/scale/tolerance誤読,\SD002,\Scritical,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Soriginal-function recompute,\Stighten/scale、report residual,\S別solverでcross-check,\SS002;S017,\Shigh,\S2026-07-13
\SFM016,\S局所解を大域解と誤認,\SLocal solution mistaken for global,\Sguarantee,\SM_BFGS;M_SQP;M_INTERIOR_POINT_NLP,\S,\S初期値で異なる解,\Snonconvex局所法の保証誤読,\SD041,\Scritical,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Smultistart/lower bound,\S明示的にlocal label,\S証明必要ならglobal/certificate solver,\SS055;S056,\Shigh,\S2026-07-13
\SFM017,\Sglobal searchを証明と誤認,\SGlobal search mistaken for proof,\Sguarantee,\SM_CMA_ES;M_DIFFERENTIAL_EVOLUTION;M_BAYESIAN_OPT_GP,\S,\Sbest-so-farだけをoptimalと報告,\Sheuristicの名称/宣伝を誤読,\SD041,\Scritical,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Scertificate alignment,\Sbound/relaxation/solverへ,\S証明要求なら即切替,\SS059;S074,\Shigh,\S2026-07-13
\SFM018,\Ssaddle/flat plateau,\SSaddle point or flat plateau,\Slocal_solver,\SM_GRADIENT_DESCENT;M_ADAM;M_BFGS,\S,\Sgradient小だが曲率/改善悪い,\S非凸幾何、saturation,\SD004,\Swarning,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\SHVP/eigen/perturbation,\Strust-region、restart、normalization,\S長期停滞ならstochastic/multistart,\SS056,\Shigh,\S2026-07-13
\SFM019,\Sline search failure,\SLine-search failure,\Slocal_solver,\SM_BFGS;M_LBFGS;M_NLCG,\S,\Sstep rejected、abnormal termination,\Sbad gradient、scale、non-smooth/noise,\SD010,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Sline-search log,\Sgradient check、trust-region,\S微分不可信ならDFO,\SS002;S056,\Shigh,\S2026-07-13
\SFM020,\Strust radius collapse,\STrust-region radius collapse,\Slocal_solver,\SM_TRUST_NCG;M_TRUST_KRYLOV;M_COBYQA,\S,\Sradius→0、reject連続,\Slocal model不良、noise、constraint issue,\SD011,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Srho/radius log,\Sderivative/scale/noise修正,\Sdirect searchへ,\SS056,\Shigh,\S2026-07-13
\SFM021,\Ssimplex退化,\SSimplex degeneration,\Sdfo,\SM_NELDER_MEAD,\S,\SNelder-Mead停滞、変数方向不足,\Sscale/境界/geometry collapse,\SD012,\Swarning,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Ssimplex geometry,\Srestart/rescale,\SPowell/MADS/gradient法へ,\SS063,\Shigh,\S2026-07-13
\SFM022,\SDFOの次元budget不整合,\SDFO dimension-budget mismatch,\Sbudget,\SM_NELDER_MEAD;M_MADS;M_COBYQA,\S,\S改善前にbudget枯渇,\S必要geometry/方向評価がnに対し不足,\SD024,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Seval ledger,\Sdimension reduction/gradient estimation,\SL-BFGS/SPSA/structure法へ,\SS031;S060,\Shigh,\S2026-07-13
\SFM023,\S反復数だけでcost比較,\SIteration-count fallacy,\Sbudget,\Sall,\S,\S少反復methodが遅い,\S1反復の評価・factorization費を無視,\SD024,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Swall-clock/eval ledger,\Scost-equivalent budget,\S比較protocol修正,\SS056,\Shigh,\S2026-07-13
\SFM024,\S過度に厳しいtolerance,\SOverly strict tolerances,\Sstopping,\Sall numerical,\S,\S末尾精度に大量時間,\Snoise/roundoff以下を要求,\SD006,\Swarning,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Sresidual vs noise/decision value,\Sscale-aware tolerance,\S早期停止/適切精度へ,\SS056,\Shigh,\S2026-07-13
\SFM025,\Sstatus code誤読,\SMisread solver status,\Sreporting,\Sall implementations,\S,\Slimit到達をsuccess扱い、inaccurate無視,\SAPI差/ラッパー変換,\SD028,\Scritical,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Sraw status保存,\Sstatus taxonomy mapping,\S残差とcross-solverで検証,\SS002;S016;S017,\Shigh,\S2026-07-13
\SFM026,\SADMM残差不均衡,\SADMM residual imbalance,\Sfirst_order,\SM_ADMM;M_ADMM_QP,\S,\Sprimalのみ/dualのみ停滞,\Srho不適切、scale不良,\SD013,\Swarning,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Sprimal/dual residual,\Sadaptive rho/scaling,\SIPM/active-setへ,\SS012;S061,\Shigh,\S2026-07-13
\SFM027,\Ssimplex退化・cycling,\SLP degeneracy/cycling,\Slinear_programming,\SM_SIMPLEX;M_DUAL_SIMPLEX,\S,\Spivot多数、目的不変,\Sdegenerate vertices,\SD028,\Swarning,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Ssolver iteration/presolve,\Santi-degeneracy、IPM比較,\Sbarrier/PDLPへ,\SS016;S055,\Shigh,\S2026-07-13
\SFM028,\SBig-M過大/不正,\SBad Big-M,\Sdiscrete,\SM_BRANCH_CUT;M_CP_SAT,\S,\Sroot gap大、数値warning、誤可行,\SMが緩すぎる/小さすぎる,\SD016,\Scritical,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Sbound proof,\Sindicator/convex hull/tight M,\SCP/extended formulationへ,\SS021;S024,\Shigh,\S2026-07-13
\SFM029,\S弱いrelaxation,\SWeak relaxation,\Sdiscrete,\SM_BRANCH_CUT;M_SPATIAL_BRANCH_BOUND,\S,\Snode爆発、bound改善なし,\S定式化が弱い,\SD015,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Sroot gap,\Svalid cuts、reformulation,\SCP/DP/専用法へ,\SS021;S024,\Shigh,\S2026-07-13
\SFM030,\S対称性による探索爆発,\SSymmetry explosion,\Sdiscrete,\SM_BRANCH_CUT;M_CP_SAT,\S,\S同等解を反復探索,\S交換可能変数/資源,\SD017,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Ssymmetry audit,\Ssymmetry breaking,\Scanonical model/CPへ,\SS021;S022,\Shigh,\S2026-07-13
\SFM031,\S整数tolerance/scale誤り,\SInteger tolerance or scaling error,\Sdiscrete,\SM_CP_SAT;M_BRANCH_CUT,\S,\S丸め後不可行、overflow,\S実数→整数scale不適切,\SD002,\Scritical,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Srecompute exact constraints,\Srational scaling/bounds,\SMIP/CP model再設計,\SS022;S079,\Shigh,\S2026-07-13
\SFM032,\S弱いCP propagation,\SWeak CP propagation,\Sconstraint_programming,\SM_CP_SEARCH;M_CP_SAT,\S,\Sbranches/conflicts増大,\Sglobal constraintを分解しすぎ,\SD018,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Spropagation stats,\Sglobal constraint/redundant reasoning,\SMILP/alternative searchへ,\SS022;S053,\Shigh,\S2026-07-13
\SFM033,\Ssurrogate misspecification,\SSurrogate model mismatch,\Ssurrogate,\SM_BAYESIAN_OPT_GP;M_SMAC_RF,\S,\S予測順位/uncertainty不良,\Skernel/model/transformが不適,\SD019,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\SCV/diagnostics,\Stransform、model change、trust region,\Srandom/CMA/MADSへfallback,\SS035;S059,\Shigh,\S2026-07-13
\SFM034,\Ssurrogate過信,\SOverconfident surrogate,\Ssurrogate,\SM_BAYESIAN_OPT_GP,\S,\S真値が区間外、exploration不足,\Snoise過小評価/prior不良,\SD020,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Scalibration,\Snoise model/replication/exploration,\Srobust/random explorationへ,\SS035;S059,\Shigh,\S2026-07-13
\SFM035,\Sacquisition最適化失敗,\SAcquisition optimization failure,\Ssurrogate,\SM_BAYESIAN_OPT_GP;M_TURBO_SAASBO,\S,\S重複点、同一境界、NaN,\Sinner optimizer/constraints不良,\SD021,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Sduplicate/acq logs,\Smulti-start、raw samples、fallback,\STPE/randomへ,\SS035,\Shigh,\S2026-07-13
\SFM036,\Searly stopping bias,\SEarly-stopping bias,\Shpo,\SM_HYPERBAND_ASHA;M_PBT,\S,\S遅く伸びるconfigurationを排除,\Slearning curves非比較,\SD033,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Sfull-budget audit,\Sgrace period/fidelity model,\SBO/full evaluationsへ,\SS038;S069,\Shigh,\S2026-07-13
\SFM037,\Spopulation多様性喪失,\SPopulation diversity loss,\Sevolutionary,\SM_CMA_ES;M_GENETIC_ALGORITHM;M_NSGA_II,\S,\S全個体近接、改善停止,\Sselection圧/step縮小/constraint repair,\SD022,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Sdiversity metric,\Srestart/mutation/niching,\SMADS/BO/multistartへ,\SS032;S039,\Shigh,\S2026-07-13
\SFM038,\S単一seed報告,\SSingle-seed reporting,\Sreproducibility,\Sstochastic methods,\S,\S再実行で結論逆転,\Sstochastic variance無視,\SD023,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Smultiple seeds,\Sdistribution report,\Srobust method/budget再配分,\SS034;S038,\Shigh,\S2026-07-13
\SFM039,\SHPO data leakage,\SHyperparameter optimization leakage,\Smachine_learning,\SM_TPE;M_BAYESIAN_OPT_GP;M_HYPERBAND_ASHA,\S,\Stest性能が再現しない,\Stest/validation情報漏洩,\SD039,\Scritical,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Spipeline/nested CV audit,\Ssealed test/nested protocol,\S結果無効として再実験,\SS075,\Shigh,\S2026-07-13
\SFM040,\Strajectory defect/mesh artifact,\STrajectory defect or mesh artifact,\Soptimal_control,\SM_DIRECT_COLLOCATION;M_MULTIPLE_SHOOTING,\S,\S離散点間で制約違反、meshで解変化,\Scoarse mesh/integrator error,\SD030;D031,\Scritical,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Sdefect/refinement,\Smesh refine/integrator,\S別transcription/solverへ,\SS042;S050,\Shigh,\S2026-07-13
\SFM041,\Smanifold parameterization singularity,\SManifold parameterization singularity,\Smanifold,\SM_RIEMANNIAN_GRADIENT;M_BFGS,\S,\S角度wrap、gimbal lock、orthogonality drift,\SEuclidean chart/parameterization不良,\SD032,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Smanifold residual/chart audit,\Sintrinsic/retraction/alternative representation,\SRiemann solverへ,\SS044;S071,\Shigh,\S2026-07-13
\SFM042,\Sstale warm start/inner solve instability,\SStale warm start or unstable inner solve,\Snested,\SM_ADMM_QP;M_INTERIOR_POINT_NLP;M_MULTIPLE_SHOOTING,\S,\S反復問題で突然失敗、outer model不整合,\Sproblem change/inner tolerance不適切,\SD029;D040,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Swarm/cold comparison;inner residual,\Sreset policy/adaptive tolerance,\Scold start/robust solverへ,\SS012;S043;S056,\Shigh,\S2026-07-13
