method_implementation_map_id,method_id,implementation_id,support_level,api_name,method_selector,implementation_notes,limitations,source_ids,confidence,last_verified
\SMIM00001,\SM_BFGS,\SI_SCIPY_BFGS,\Snative,\Sscipy.optimize.minimize,\SBFGS,\SAPIが受け付けることと実務適合性を区別する。methodごとに制約・微分・statusが異なる。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS001;S002,\Shigh,\S2026-07-13
\SMIM00002,\SM_LBFGSB,\SI_SCIPY_LBFGSB,\Snative,\Sscipy.optimize.minimize,\SL-BFGS-B,\S高次元bounds付きの有力候補。変数scale、finite-difference step、projected gradientを確認。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS001;S002;S065,\Shigh,\S2026-07-13
\SMIM00003,\SM_INTERIOR_POINT_NLP,\SI_SCIPY_TRUST_CONSTR,\Snative,\Sscipy.optimize.minimize,\Strust-constr,\S非線形制約でJacobian/Hessian/HVP・sparse構造を指定可能。微分整合性とconstraint scalingが重要。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS001;S002,\Shigh,\S2026-07-13
\SMIM00004,\SM_TRUST_KRYLOV,\SI_SCIPY_TRUST_CONSTR,\Snative,\Sscipy.optimize.minimize,\Strust-constr,\S非線形制約でJacobian/Hessian/HVP・sparse構造を指定可能。微分整合性とconstraint scalingが重要。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS001;S002,\Shigh,\S2026-07-13
\SMIM00005,\SM_SQP,\SI_SCIPY_TRUST_CONSTR,\Snative,\Sscipy.optimize.minimize,\Strust-constr,\S非線形制約でJacobian/Hessian/HVP・sparse構造を指定可能。微分整合性とconstraint scalingが重要。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS001;S002,\Shigh,\S2026-07-13
\SMIM00006,\SM_SLSQP,\SI_SCIPY_SLSQP,\Snative,\Sscipy.optimize.minimize,\SSLSQP,\S中小規模の便利な候補だが、status成功だけでなく最終constraint violationを再計算する。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS001;S002;S064,\Shigh,\S2026-07-13
\SMIM00007,\SM_NELDER_MEAD,\SI_SCIPY_NELDER_MEAD,\Snative,\Sscipy.optimize.minimize,\SNelder-Mead,\S低次元・安価評価向け。boundsは厳密な制約最適化と同等ではなく、単体退化とscaleに注意。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS001;S002;S063,\Shigh,\S2026-07-13
\SMIM00008,\SM_POWELL,\SI_SCIPY_POWELL,\Snative,\Sscipy.optimize.minimize,\SPowell,\S,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS001;S002,\Shigh,\S2026-07-13
\SMIM00009,\SM_COBYLA,\SI_SCIPY_COBYLA,\Snative,\Sscipy.optimize.minimize,\SCOBYLA,\Sequalitiesは通常二つのinequality等へ変換が必要。constraint toleranceと最終可行性を確認。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS001;S002,\Shigh,\S2026-07-13
\SMIM00010,\SM_COBYQA,\SI_SCIPY_COBYQA,\Snative,\Sscipy.optimize.minimize,\SCOBYQA,\Squadratic interpolation geometryと評価予算に注意。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS001;S002,\Shigh,\S2026-07-13
\SMIM00013,\SM_LEVENBERG_MARQUARDT,\SI_SCIPY_LEAST_SQUARES_LM,\Snative,\Sscipy.optimize.least_squares,\Slm,\Sbounds非対応。残差数・変数数、rank deficiency、Jacobian品質を確認。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS003,\Shigh,\S2026-07-13
\SMIM00014,\SM_SIMPLEX,\SI_SCIPY_LINPROG_HIGHS,\Snative,\Sscipy.optimize.linprog,\Shighs;highs-ds;highs-ipm,\SLPは一般minimizeでなくlinprog/HiGHSを優先。marginals・status・residualを確認。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS004;S016,\Shigh,\S2026-07-13
\SMIM00015,\SM_DUAL_SIMPLEX,\SI_SCIPY_LINPROG_HIGHS,\Snative,\Sscipy.optimize.linprog,\Shighs;highs-ds;highs-ipm,\SLPは一般minimizeでなくlinprog/HiGHSを優先。marginals・status・residualを確認。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS004;S016,\Shigh,\S2026-07-13
\SMIM00016,\SM_BARRIER_LP_QP,\SI_SCIPY_LINPROG_HIGHS,\Snative,\Sscipy.optimize.linprog,\Shighs;highs-ds;highs-ipm,\SLPは一般minimizeでなくlinprog/HiGHSを優先。marginals・status・residualを確認。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS004;S016,\Shigh,\S2026-07-13
\SMIM00017,\SM_BRANCH_CUT,\SI_SCIPY_MILP_HIGHS,\Snative,\Sscipy.optimize.milp,\SHiGHS,\Sintegrality・MIP gap・time/node limitを明示。Big-Mとrelaxation品質を診断。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS005;S016,\Shigh,\S2026-07-13
\SMIM00018,\SM_BRANCH_BOUND,\SI_SCIPY_MILP_HIGHS,\Snative,\Sscipy.optimize.milp,\SHiGHS,\Sintegrality・MIP gap・time/node limitを明示。Big-Mとrelaxation品質を診断。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS005;S016,\Shigh,\S2026-07-13
\SMIM00019,\SM_DIFFERENTIAL_EVOLUTION,\SI_SCIPY_DIFFERENTIAL_EVOLUTION,\Snative,\Sscipy.optimize.differential_evolution,\S,\Spopulation × generationsが評価数。並列/seed/polish/constraint処理を記録。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS006,\Shigh,\S2026-07-13
\SMIM00020,\SM_SHGO,\SI_SCIPY_SHGO,\Snative,\Sscipy.optimize.shgo,\S,\S,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS007;S072,\Shigh,\S2026-07-13
\SMIM00021,\SM_DIRECT,\SI_SCIPY_DIRECT,\Snative,\Sscipy.optimize.direct,\S,\S,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS008;S073,\Shigh,\S2026-07-13
\SMIM00022,\SM_SIMULATED_ANNEALING,\SI_SCIPY_DUAL_ANNEALING,\Snative,\Sscipy.optimize.dual_annealing,\S,\S,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS009,\Shigh,\S2026-07-13
\SMIM00023,\SM_BASIN_HOPPING,\SI_SCIPY_BASINHOPPING,\Snative,\Sscipy.optimize.basinhopping,\S,\S,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS001;S002,\Shigh,\S2026-07-13
\SMIM00024,\SM_MULTISTART,\SI_SCIPY_BASINHOPPING,\Snative,\Sscipy.optimize.basinhopping,\S,\S,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS001;S002,\Shigh,\S2026-07-13
\SMIM00025,\SM_SIMPLEX,\SI_HIGHS_NATIVE,\Snative,\Shighspy.Highs / C++ API,\S,\SNative APIはbasis/MIP start等をSciPy wrapperより広く公開する場合がある。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS016,\Shigh,\S2026-07-13
\SMIM00026,\SM_DUAL_SIMPLEX,\SI_HIGHS_NATIVE,\Snative,\Shighspy.Highs / C++ API,\S,\SNative APIはbasis/MIP start等をSciPy wrapperより広く公開する場合がある。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS016,\Shigh,\S2026-07-13
\SMIM00027,\SM_BARRIER_LP_QP,\SI_HIGHS_NATIVE,\Snative,\Shighspy.Highs / C++ API,\S,\SNative APIはbasis/MIP start等をSciPy wrapperより広く公開する場合がある。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS016,\Shigh,\S2026-07-13
\SMIM00028,\SM_BRANCH_CUT,\SI_HIGHS_NATIVE,\Snative,\Shighspy.Highs / C++ API,\S,\SNative APIはbasis/MIP start等をSciPy wrapperより広く公開する場合がある。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS016,\Shigh,\S2026-07-13
\SMIM00029,\SM_ADMM_QP,\SI_OSQP,\Snative,\Sosqp.OSQP / native APIs,\S,\SP must be positive semidefinite. factorization caching・warm startは反復QP/MPCで有効。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS012;S062,\Shigh,\S2026-07-13
\SMIM00030,\SM_ADMM,\SI_SCS,\Snative,\Sscs.solve / native APIs,\S,\S一次法。非常に大規模/中精度に有力だが、status inaccurateとresidualを確認。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS013,\Shigh,\S2026-07-13
\SMIM00031,\SM_PRIMAL_DUAL_CONIC,\SI_SCS,\Snative,\Sscs.solve / native APIs,\S,\S一次法。非常に大規模/中精度に有力だが、status inaccurateとresidualを確認。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS013,\Shigh,\S2026-07-13
\SMIM00032,\SM_PRIMAL_DUAL_CONIC,\SI_CLARABEL,\Snative,\Sclarabel.DefaultSolver / wrappers,\S,\Shomogeneous embeddingを必要としないinterior-point conic solver。対応coneとwrapper差を確認。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS014,\Shigh,\S2026-07-13
\SMIM00033,\SM_BARRIER_LP_QP,\SI_CLARABEL,\Snative,\Sclarabel.DefaultSolver / wrappers,\S,\Shomogeneous embeddingを必要としないinterior-point conic solver。対応coneとwrapper差を確認。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS014,\Shigh,\S2026-07-13
\SMIM00034,\SM_PRIMAL_DUAL_CONIC,\SI_CVXPY,\Svia_wrapper,\Scvxpy.Problem.solve,\Ssolver=...,\SCVXPYはalgorithm自体ではなくmodeling/canonicalization層。DCP規則とbackend capabilityを分けて記録。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS010;S011,\Shigh,\S2026-07-13
\SMIM00035,\SM_ADMM_QP,\SI_CVXPY,\Svia_wrapper,\Scvxpy.Problem.solve,\Ssolver=...,\SCVXPYはalgorithm自体ではなくmodeling/canonicalization層。DCP規則とbackend capabilityを分けて記録。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS010;S011,\Shigh,\S2026-07-13
\SMIM00036,\SM_BRANCH_CUT,\SI_CVXPY,\Svia_wrapper,\Scvxpy.Problem.solve,\Ssolver=...,\SCVXPYはalgorithm自体ではなくmodeling/canonicalization層。DCP規則とbackend capabilityを分けて記録。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS010;S011,\Shigh,\S2026-07-13
\SMIM00037,\SM_BARRIER_LP_QP,\SI_CVXPY,\Svia_wrapper,\Scvxpy.Problem.solve,\Ssolver=...,\SCVXPYはalgorithm自体ではなくmodeling/canonicalization層。DCP規則とbackend capabilityを分けて記録。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS010;S011,\Shigh,\S2026-07-13
\SMIM00038,\SM_BARRIER_LP_QP,\SI_CVXOPT,\Snative,\Scvxopt.solvers.lp/qp/conelp/coneqp,\S,\S,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS015,\Shigh,\S2026-07-13
\SMIM00039,\SM_PRIMAL_DUAL_CONIC,\SI_CVXOPT,\Snative,\Scvxopt.solvers.lp/qp/conelp/coneqp,\S,\S,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS015,\Shigh,\S2026-07-13
\SMIM00040,\SM_INTERIOR_POINT_NLP,\SI_IPOPT,\Snative,\Scyipopt.minimize_ipopt / native NLP interface,\S,\S滑らかなNLPのみ。sparse derivativeと線形solver選択が性能を左右。非凸では局所KKT点。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS017,\Shigh,\S2026-07-13
\SMIM00041,\SM_NELDER_MEAD,\SI_NLOPT,\Snative,\Snlopt.opt,\Salgorithm enum,\Salgorithm enumごとに微分・制約・局所/大域が異なる。データ上は一つの手法として扱わない。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS018,\Shigh,\S2026-07-13
\SMIM00042,\SM_COBYLA,\SI_NLOPT,\Snative,\Snlopt.opt,\Salgorithm enum,\Salgorithm enumごとに微分・制約・局所/大域が異なる。データ上は一つの手法として扱わない。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS018,\Shigh,\S2026-07-13
\SMIM00043,\SM_AUGMENTED_LAGRANGIAN,\SI_NLOPT,\Snative,\Snlopt.opt,\Salgorithm enum,\Salgorithm enumごとに微分・制約・局所/大域が異なる。データ上は一つの手法として扱わない。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS018,\Shigh,\S2026-07-13
\SMIM00044,\SM_DIRECT,\SI_NLOPT,\Snative,\Snlopt.opt,\Salgorithm enum,\Salgorithm enumごとに微分・制約・局所/大域が異なる。データ上は一つの手法として扱わない。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS018,\Shigh,\S2026-07-13
\SMIM00045,\SM_LBFGS,\SI_NLOPT,\Snative,\Snlopt.opt,\Salgorithm enum,\Salgorithm enumごとに微分・制約・局所/大域が異なる。データ上は一つの手法として扱わない。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS018,\Shigh,\S2026-07-13
\SMIM00046,\SM_NEWTON_CG,\SI_PETSC_TAO,\Snative,\Spetsc4py.PETSc.TAO / C API,\Stao_type,\Sdistributed data structures/linear solvers/preconditionersまで含めて設計する大規模HPC向け。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS019,\Shigh,\S2026-07-13
\SMIM00047,\SM_LBFGS,\SI_PETSC_TAO,\Snative,\Spetsc4py.PETSc.TAO / C API,\Stao_type,\Sdistributed data structures/linear solvers/preconditionersまで含めて設計する大規模HPC向け。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS019,\Shigh,\S2026-07-13
\SMIM00048,\SM_TRUST_NCG,\SI_PETSC_TAO,\Snative,\Spetsc4py.PETSc.TAO / C API,\Stao_type,\Sdistributed data structures/linear solvers/preconditionersまで含めて設計する大規模HPC向け。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS019,\Shigh,\S2026-07-13
\SMIM00049,\SM_PROJECTED_GRADIENT,\SI_PETSC_TAO,\Snative,\Spetsc4py.PETSc.TAO / C API,\Stao_type,\Sdistributed data structures/linear solvers/preconditionersまで含めて設計する大規模HPC向け。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS019,\Shigh,\S2026-07-13
\SMIM00050,\SM_BRANCH_CUT,\SI_PYOMO,\Svia_wrapper,\Spyomo.environ.SolverFactory,\Ssolver name,\SPyomoはmodeling layer。選択solverのlicense・capability・statusを別rowで評価。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS020,\Shigh,\S2026-07-13
\SMIM00051,\SM_INTERIOR_POINT_NLP,\SI_PYOMO,\Svia_wrapper,\Spyomo.environ.SolverFactory,\Ssolver name,\SPyomoはmodeling layer。選択solverのlicense・capability・statusを別rowで評価。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS020,\Shigh,\S2026-07-13
\SMIM00052,\SM_OUTER_APPROX_MINLP,\SI_PYOMO,\Svia_wrapper,\Spyomo.environ.SolverFactory,\Ssolver name,\SPyomoはmodeling layer。選択solverのlicense・capability・statusを別rowで評価。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS020,\Shigh,\S2026-07-13
\SMIM00053,\SM_BRANCH_CUT,\SI_SCIP,\Snative,\Spyscipopt.Model / native API,\S,\SMIPとMINLPで保証・nonconvex handlingが異なる。plugin ecosystemとproblem classを確認。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS021,\Shigh,\S2026-07-13
\SMIM00054,\SM_SPATIAL_BRANCH_BOUND,\SI_SCIP,\Snative,\Spyscipopt.Model / native API,\S,\SMIPとMINLPで保証・nonconvex handlingが異なる。plugin ecosystemとproblem classを確認。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS021,\Shigh,\S2026-07-13
\SMIM00055,\SM_OUTER_APPROX_MINLP,\SI_SCIP,\Snative,\Spyscipopt.Model / native API,\S,\SMIPとMINLPで保証・nonconvex handlingが異なる。plugin ecosystemとproblem classを確認。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS021,\Shigh,\S2026-07-13
\SMIM00056,\SM_CP_SAT,\SI_ORTOOLS_CPSAT,\Snative,\Sortools.sat.python.cp_model.CpSolver,\S,\SCP-SATは整数のみ。実数はscaleして整数化し、丸めとoverflow/係数scaleを検証。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS022;S079,\Shigh,\S2026-07-13
\SMIM00057,\SM_CDCL_SAT,\SI_ORTOOLS_CPSAT,\Snative,\Sortools.sat.python.cp_model.CpSolver,\S,\SCP-SATは整数のみ。実数はscaleして整数化し、丸めとoverflow/係数scaleを検証。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS022;S079,\Shigh,\S2026-07-13
\SMIM00058,\SM_LOCAL_SEARCH_COMBINATORIAL,\SI_ORTOOLS_ROUTING,\Snative,\Sortools.constraint_solver.pywrapcp.RoutingModel,\S,\S巨大routingで良質解を早く得るheuristic中心。最適性証明と成功statusを混同しない。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS023,\Shigh,\S2026-07-13
\SMIM00059,\SM_CP_SEARCH,\SI_ORTOOLS_ROUTING,\Snative,\Sortools.constraint_solver.pywrapcp.RoutingModel,\S,\S巨大routingで良質解を早く得るheuristic中心。最適性証明と成功statusを混同しない。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS023,\Shigh,\S2026-07-13
\SMIM00060,\SM_SIMPLEX,\SI_ORTOOLS_GLOP,\Snative,\Spywraplp.Solver.CreateSolver,\SGLOP,\S,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS078,\Shigh,\S2026-07-13
\SMIM00061,\SM_DUAL_SIMPLEX,\SI_ORTOOLS_GLOP,\Snative,\Spywraplp.Solver.CreateSolver,\SGLOP,\S,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS078,\Shigh,\S2026-07-13
\SMIM00062,\SM_PDLP,\SI_ORTOOLS_PDLP,\Snative,\Spywraplp.Solver.CreateSolver / MathOpt,\SPDLP,\S一次法で巨大LP向け。高精度・small LPではsimplex/IPMも比較。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS078,\Shigh,\S2026-07-13
\SMIM00063,\SM_SIMPLEX,\SI_GUROBI,\Snative,\Sgurobipy.Model.optimize,\S,"\Sstatus, incumbent, bound, MIP gap, numeric warningsを区別。nonconvex設定とglobal保証範囲を公式manualで確認。",\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS024,\Shigh,\S2026-07-13
\SMIM00064,\SM_BARRIER_LP_QP,\SI_GUROBI,\Snative,\Sgurobipy.Model.optimize,\S,"\Sstatus, incumbent, bound, MIP gap, numeric warningsを区別。nonconvex設定とglobal保証範囲を公式manualで確認。",\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS024,\Shigh,\S2026-07-13
\SMIM00065,\SM_BRANCH_CUT,\SI_GUROBI,\Snative,\Sgurobipy.Model.optimize,\S,"\Sstatus, incumbent, bound, MIP gap, numeric warningsを区別。nonconvex設定とglobal保証範囲を公式manualで確認。",\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS024,\Shigh,\S2026-07-13
\SMIM00066,\SM_SPATIAL_BRANCH_BOUND,\SI_GUROBI,\Snative,\Sgurobipy.Model.optimize,\S,"\Sstatus, incumbent, bound, MIP gap, numeric warningsを区別。nonconvex設定とglobal保証範囲を公式manualで確認。",\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS024,\Shigh,\S2026-07-13
\SMIM00067,\SM_SIMPLEX,\SI_CPLEX,\Snative,\Sdocplex / cplex API,\S,\S,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS025,\Shigh,\S2026-07-13
\SMIM00068,\SM_BARRIER_LP_QP,\SI_CPLEX,\Snative,\Sdocplex / cplex API,\S,\S,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS025,\Shigh,\S2026-07-13
\SMIM00069,\SM_BRANCH_CUT,\SI_CPLEX,\Snative,\Sdocplex / cplex API,\S,\S,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS025,\Shigh,\S2026-07-13
\SMIM00070,\SM_BRANCH_CUT,\SI_CBC,\Snative,\Scbc / cylp / PuLP backend,\S,\S,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS026,\Shigh,\S2026-07-13
\SMIM00071,\SM_SIMPLEX,\SI_GLPK,\Snative,\Sglpsol / swiglpk,\S,\S,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS027,\Shigh,\S2026-07-13
\SMIM00072,\SM_BARRIER_LP_QP,\SI_GLPK,\Snative,\Sglpsol / swiglpk,\S,\S,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS027,\Shigh,\S2026-07-13
\SMIM00073,\SM_BRANCH_CUT,\SI_GLPK,\Snative,\Sglpsol / swiglpk,\S,\S,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS027,\Shigh,\S2026-07-13
\SMIM00074,\SM_PRIMAL_DUAL_CONIC,\SI_MOSEK,\Snative,\Smosek / Fusion API,\S,\S錐/SDPの代表的商用solver。problem reformulationとcone supportを確認。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS028,\Shigh,\S2026-07-13
\SMIM00075,\SM_BARRIER_LP_QP,\SI_MOSEK,\Snative,\Smosek / Fusion API,\S,\S錐/SDPの代表的商用solver。problem reformulationとcone supportを確認。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS028,\Shigh,\S2026-07-13
\SMIM00076,\SM_BRANCH_CUT,\SI_MOSEK,\Snative,\Smosek / Fusion API,\S,\S錐/SDPの代表的商用solver。problem reformulationとcone supportを確認。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS028,\Shigh,\S2026-07-13
\SMIM00077,\SM_INTERIOR_POINT_NLP,\SI_KNITRO,\Snative,\Sknitro Python/native APIs,\Salgorithm option,\S,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS029,\Shigh,\S2026-07-13
\SMIM00078,\SM_SQP,\SI_KNITRO,\Snative,\Sknitro Python/native APIs,\Salgorithm option,\S,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS029,\Shigh,\S2026-07-13
\SMIM00079,\SM_ACTIVE_SET,\SI_KNITRO,\Snative,\Sknitro Python/native APIs,\Salgorithm option,\S,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS029,\Shigh,\S2026-07-13
\SMIM00080,\SM_BRANCH_BOUND,\SI_KNITRO,\Snative,\Sknitro Python/native APIs,\Salgorithm option,\S,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS029,\Shigh,\S2026-07-13
\SMIM00081,\SM_SQP,\SI_SNOPT,\Snative,\Ssnopt interfaces,\S,\S疎SQP。derivative option・major/minor iterations・feasibility tolerancesを理解して使用。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS030,\Shigh,\S2026-07-13
\SMIM00082,\SM_MADS,\SI_NOMAD,\Snative,\SPyNomad.optimize / native,\S,\S評価失敗/cache/constraint handlingを明示。ライセンス文字列は一次資料で再確認backlog。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS031,\Smedium,\S2026-07-13
\SMIM00083,\SM_CMA_ES,\SI_PYCMA,\Snative,\Scma.fmin2 / cma.CMAEvolutionStrategy,\S,\Sseed、population、sigma、bounds、restart、noise handlingを記録。標準CMAはO(n²) memory/linear algebra。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS032,\Shigh,\S2026-07-13
\SMIM00084,\SM_CMA_ES,\SI_NEVERGRAD,\Snative,\Snevergrad.optimization.optimizerlib,\S,\Sportfolio名はalgorithm familyと同一視しない。instrumentation/constraint handling/parallel budgetで挙動が変わる。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS033,\Shigh,\S2026-07-13
\SMIM00085,\SM_DIFFERENTIAL_EVOLUTION,\SI_NEVERGRAD,\Snative,\Snevergrad.optimization.optimizerlib,\S,\Sportfolio名はalgorithm familyと同一視しない。instrumentation/constraint handling/parallel budgetで挙動が変わる。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS033,\Shigh,\S2026-07-13
