term_id,target_type,target_id,label_ja,label_en,abbreviations_json,synonyms_json,domain_terms_json,misspellings_json,deprecated_terms_json,disambiguation_note,locale,rationale,source_ids_json,last_verified
\STERM_ADAM,\Smethod,\SM_ADAM,\SAdam,\SAdaptive Moment Estimation,\S[],"\S[""Adam optimizer""]","\S[""適応的モーメント推定""]","\S[""Adam optimzer""]",\S[],\N,"\Sja-JP,en",\S正式名とoptimizer名を統合する。,"\S[""S070""]",\S2026-07-15
\STERM_ADMM,\Smethod,\SM_ADMM,\S交互方向乗数法,\SAlternating Direction Method of Multipliers,"\S[""ADMM""]",\S[],"\S[""分散凸最適化""]","\S[""alternating directions method""]",\S[],\N,"\Sja-JP,en",\S正式名と略語を統合する。,"\S[""S061""]",\S2026-07-15
\STERM_BFGS,\Smethod,\SM_BFGS,\SBFGS法,\SBFGS,\S[],"\S[""quasi-Newton BFGS""]","\S[""準Newton法""]","\S[""BFGS method""]",\S[],\N,"\Sja-JP,en",\S準Newton語彙を代表手法へ結ぶ。,"\S[""S057""]",\S2026-07-15
\STERM_BO,\Smethod,\SM_BAYESIAN_OPT_GP,\Sベイズ最適化,\SBayesian optimization,"\S[""BO""]","\S[""Gaussian-process Bayesian optimization""]","\S[""GP-BO"",""black-box optimization""]","\S[""Bayseian optimization""]",\S[],\N,"\Sja-JP,en",\SBO語彙をGP methodへ解決する。,"\S[""S059"",""S075""]",\S2026-07-15
\STERM_BRANCH_BOUND,\Smethod,\SM_BRANCH_BOUND,\S分枝限定法,\SBranch and Bound,"\S[""B&B"",""BnB""]","\S[""branch-and-bound""]","\S[""探索木""]","\S[""branch & bound""]",\S[],\N,"\Sja-JP,en",\S記号・hyphen違いを統合する。,"\S[""S056""]",\S2026-07-15
\STERM_CMA_ES,\Smethod,\SM_CMA_ES,\SCMA-ES,\SCovariance Matrix Adaptation Evolution Strategy,"\S[""CMAES""]",\S[],"\S[""evolution strategy""]","\S[""CMA ES""]",\S[],\N,"\Sja-JP,en",\Shyphen有無と正式名を統合する。,"\S[""S058""]",\S2026-07-15
\STERM_CONIC,\Smethod,\SM_PRIMAL_DUAL_CONIC,\S主双対錐最適化法,\SPrimal-dual conic method,"\S[""PDIPM""]","\S[""primal-dual interior-point conic""]","\S[""錐solver""]","\S[""primal dual conic""]",\S[],\N,"\Sja-JP,en",\Sconic solver語彙を解決する。,"\S[""S013"",""S014""]",\S2026-07-15
\STERM_CONVEXITY,\Sfeature,\SF_CONVEXITY,\S凸性,\SConvexity,\S[],"\S[""凸最適化の前提""]","\S[""convex objective""]","\S[""convexcity""]",\S[],\N,"\Sja-JP,en",\S高頻度conceptをfeatureへ解決する。,"\S[""S055""]",\S2026-07-15
\STERM_CP_SAT,\Smethod,\SM_CP_SAT,\SCP-SAT,\SConstraint Programming SAT,\S[],"\S[""制約プログラミングSAT""]","\S[""OR-Tools CP-SAT""]","\S[""CPSAT"",""CP SAT""]",\S[],\N,"\Sja-JP,en",\S製品名とmethodを結ぶ。,"\S[""S022""]",\S2026-07-15
\STERM_DE,\Smethod,\SM_DIFFERENTIAL_EVOLUTION,\S差分進化,\SDifferential evolution,"\S[""DE""]","\S[""Differential Evolution optimizer""]","\S[""population-based global optimization""]","\S[""differencial evolution""]",\S[],\SDEは微分方程式ではなくoptimizer候補。,"\Sja-JP,en",\S略語衝突を説明して解決する。,"\S[""S074""]",\S2026-07-15
\STERM_DERIVATIVE_ACCESS,\Sfeature,\SF_DERIVATIVE_ACCESS,\S導関数アクセス,\SDerivative access,\S[],"\S[""gradient availability""]","\S[""Jacobian availability"",""Hessian availability""]","\S[""derivitive access""]",\S[],\N,"\Sja-JP,en",\Soracle情報をcanonical featureへ解決する。,"\S[""S056""]",\S2026-07-15
\STERM_DFO,\Smethod,\SMF_DFO_LOCAL,\S導関数不要最適化,\SDerivative-free optimization,"\S[""DFO""]","\S[""gradient-free optimization""]","\S[""black-box local optimization""]","\S[""derivative free optimisation""]",\S[],\Sgradient-freeは検索語として関連づけるが数学的同義とは断定しない。,"\Sja-JP,en",\S実務で混在する語を関連づける。,"\S[""S056""]",\S2026-07-15
\STERM_EVALUATION_COST,\Sfeature,\SF_EVALUATION_COST,\S評価コスト,\SEvaluation cost,\S[],"\S[""expensive objective""]","\S[""高価なblack-box評価""]","\S[""evalution cost""]",\S[],\N,"\Sja-JP,en",\SBO選択に重要なcostをfeatureへ解決する。,"\S[""S059""]",\S2026-07-15
\STERM_GAUSS_NEWTON,\Smethod,\SM_GAUSS_NEWTON,\SGauss–Newton法,\SGauss-Newton method,"\S[""GN""]","\S[""Gauss Newton""]","\S[""residual least-squares method""]","\S[""Gause Newton""]",\S[],\N,"\Sja-JP,en",\S最小二乗の基本更新を検索可能にする。,"\S[""S056""]",\S2026-07-15
\STERM_GD,\Smethod,\SM_GRADIENT_DESCENT,\S勾配降下法,\SGradient descent,"\S[""GD""]","\S[""最急降下法""]","\S[""full-batch gradient descent""]","\S[""gradient decent""]",\S[],\N,"\Sja-JP,en",\S基本一次法の表記を統合する。,"\S[""S056""]",\S2026-07-15
\STERM_INTEGER_PROGRAMMING,\Smethod,\SMF_DISCRETE_EXACT,\S整数計画,\SInteger programming,"\S[""IP"",""MIP""]","\S[""混合整数計画"",""mixed-integer programming""]","\S[""混合整数最適化""]","\S[""mixed integer programing""]",\S[],\SIPはinteger programming。内点法は別候補。,"\Sja-JP,en",\S整数・混合整数の表記をfamilyへ解決する。,"\S[""S079""]",\S2026-07-15
\STERM_INTERIOR_POINT,\Smethod,\SM_INTERIOR_POINT_NLP,\S内点法,\SInterior-point method,"\S[""IP""]","\S[""barrier method for NLP""]","\S[""primal-dual interior point""]","\S[""interior point optimiser""]",\S[],\SIPはinterior-point。integer programmingは別候補。,"\Sja-JP,en",\S略語衝突を明示してNLP methodへ解決する。,"\S[""S017"",""S055""]",\S2026-07-15
\STERM_LBFGS,\Smethod,\SM_LBFGS,\SL-BFGS法,\SLimited-memory BFGS,"\S[""L-BFGS"",""LBFGS""]",\S[],"\S[""limited memory quasi-Newton""]","\S[""L BFGS""]",\S[],\N,"\Sja-JP,en",\Shyphen・spacingを統合する。,"\S[""S065""]",\S2026-07-15
\STERM_LM,\Smethod,\SM_LEVENBERG_MARQUARDT,\SLevenberg–Marquardt法,\SLevenberg-Marquardt,"\S[""LM""]","\S[""damped Gauss-Newton""]","\S[""非線形最小二乗LM""]","\S[""Levenberg Marquadt""]",\S[],\N,"\Sja-JP,en",\S略語と人名表記を統合する。,"\S[""S003"",""S056""]",\S2026-07-15
\STERM_LP_QP_CONIC,\Smethod,\SMF_LP_QP_CONIC,\SLP・QP・錐最適化,\SLP/QP/conic optimization,"\S[""LP"",""QP""]","\S[""convex conic optimization""]","\S[""線形・二次・錐計画""]","\S[""LP QP conic""]",\S[],\SLP/QPはproblem classでも使うためfamily候補として表示する。,"\Sja-JP,en",\S隣接する構造クラスを検索可能にする。,"\S[""S055""]",\S2026-07-15
\STERM_MOMENTUM,\Smethod,\SM_MOMENTUM_SGD,\SMomentum法,\SMomentum SGD,"\S[""SGDM""]","\S[""momentum method""]","\S[""慣性項付き勾配法""]","\S[""momemtum""]",\S[],\N,"\Sja-JP,en",\Soptimizer表記を統合する。,"\S[""S070""]",\S2026-07-15
\STERM_MULTI_OBJECTIVE,\Smethod,\SMF_MULTI_OBJECTIVE,\S多目的最適化,\SMulti-objective optimization,"\S[""MOO""]","\S[""multi-criteria optimization""]","\S[""Pareto optimization""]","\S[""multiobjective optimisation""]",\S[],\N,"\Sja-JP,en",\SPareto語彙をfamilyへ解決する。,"\S[""S068""]",\S2026-07-15
\STERM_MULTI_PROBLEM,\Sproblem,\SPA038,\S多目的設計問題,\SMulti-objective design problem,\S[],"\S[""Pareto design""]","\S[""trade-off optimization""]","\S[""multi objective design""]",\S[],\N,"\Sja-JP,en",\Smethod familyとproblemを区別する。,"\S[""S068""]",\S2026-07-15
\STERM_NELDER_MEAD,\Smethod,\SM_NELDER_MEAD,\SNelder–Mead法,\SNelder-Mead method,"\S[""NM""]","\S[""Downhill simplex""]","\S[""単体法（Nelder–Mead）""]","\S[""Nelder Mead""]",\S[],\SLPのsimplex methodとは異なる。,"\Sja-JP,en",\Ssimplexの曖昧性を明示する。,"\S[""S063""]",\S2026-07-15
\STERM_NONLINEAR_LS,\Sproblem,\SPA033,\S非線形最小二乗,\SNonlinear least squares,"\S[""NLLS""]","\S[""nonlinear curve fitting""]","\S[""residual fitting""]","\S[""non-linear least square""]",\S[],\N,"\Sja-JP,en",\Scurve-fitting語彙をproblemへ解決する。,"\S[""S003""]",\S2026-07-15
\STERM_NSGA2,\Smethod,\SM_NSGA_II,\SNSGA-II,\SNon-dominated Sorting Genetic Algorithm II,"\S[""NSGA2""]","\S[""NSGA II""]","\S[""nondominated sorting GA""]","\S[""NSGA-2""]",\S[],\N,"\Sja-JP,en",\SRoman numeralと数字表記を統合する。,"\S[""S068""]",\S2026-07-15
\STERM_PROJECTED_GRADIENT,\Smethod,\SM_PROJECTED_GRADIENT,\S射影勾配法,\SProjected gradient method,"\S[""PGD""]","\S[""gradient projection""]","\S[""box-constrained first-order""]","\S[""projection gradient descent""]",\S[],\SPGDはadversarial MLでも同じ更新familyを指す。,"\Sja-JP,en",\Sprojectionを使う一次法を統合する。,"\S[""S055"",""S056""]",\S2026-07-15
\STERM_PROX_GRADIENT,\Smethod,\SM_PROX_GRADIENT,\S近接勾配法,\SProximal gradient method,"\S[""ProxGrad""]","\S[""forward-backward splitting""]","\S[""composite convex optimization""]","\S[""proximal gradiant""]",\S[],\N,"\Sja-JP,en",\Sproximalとsplittingの語彙を統合する。,"\S[""S066""]",\S2026-07-15
\STERM_ROUTING_PROBLEM,\Sproblem,\SPA031,\S配送・経路最適化,\SRouting optimization,"\S[""VRP""]","\S[""vehicle routing problem""]","\S[""配車計画""]","\S[""vehcle routing""]","\S[""巡回セールスマン一般""]",\STSPはroutingの特殊例であり一般同義語にはしない。,"\Sja-JP,en",\S配車実務語をrouting archetypeへ解決する。,"\S[""S023""]",\S2026-07-15
\STERM_SGD,\Smethod,\SM_SGD,\S確率的勾配降下法,\SStochastic gradient descent,"\S[""SGD""]","\S[""mini-batch gradient descent""]","\S[""stochastic optimizer""]","\S[""stocastic gradient descent""]",\S[],\N,"\Sja-JP,en",\SMLのbatch表記を統合する。,"\S[""S048""]",\S2026-07-15
\STERM_SIMPLEX_LP,\Smethod,\SM_SIMPLEX,\S単体法（線形計画）,\SSimplex method,\S[],"\S[""LP simplex""]","\S[""primal simplex""]","\S[""simplex algorithm LP""]",\S[],\SNelder–Meadのsimplexとは異なる。,"\Sja-JP,en",\Ssimplexの曖昧性をLP側でも明示する。,"\S[""S004"",""S055""]",\S2026-07-15
\STERM_SLSQP,\Smethod,\SM_SLSQP,\SSLSQP,\SSequential Least Squares Programming,\S[],"\S[""逐次最小二乗計画法""]","\S[""SciPy SLSQP""]","\S[""SLQSP""]",\S[],\N,"\Sja-JP,en",\Sselectorと正式名を統合する。,"\S[""S064""]",\S2026-07-15
\STERM_SQP,\Smethod,\SM_SQP,\S逐次二次計画法,\SSequential quadratic programming,"\S[""SQP""]",\S[],"\S[""constrained NLP method""]","\S[""sequential quadratic programing""]",\S[],\N,"\Sja-JP,en",\S正式名と略語を統合する。,"\S[""S056""]",\S2026-07-15
\STERM_WEIGHTED_SUM,\Smethod,\SM_WEIGHTED_SUM,\S重み付き和法,\SWeighted-sum method,\S[],"\S[""scalarization by weighted sum""]","\S[""多目的scalarization""]","\S[""weighted sum optimisation""]",\S[],\N,"\Sja-JP,en",\Sscalarization語彙を解決する。,"\S[""S055""]",\S2026-07-15
