case_alternative_map_id,case_id,alternative_id,sequence,rationale,source_ids,confidence,last_verified
CAM0001,EC001,ALT_CLOSED_FORM,1,滑らかな低次元の制約なし連続最適化での事前確認: 反復誤差と初期値依存を避ける,S002;S056;S057;S003;S054;S055,high,2026-07-13
CAM0002,EC001,ALT_ROOT,2,滑らかな低次元の制約なし連続最適化での事前確認: スカラー目的化を避ける,S002;S056;S057;S003;S054;S055,high,2026-07-13
CAM0003,EC002,ALT_DECOMPOSITION,1,高次元だが勾配が利用可能での事前確認: memory/parallel性,S019;S046;S056;S002;S057;S065;S054;S055,high,2026-07-13
CAM0004,EC003,ALT_CLOSED_FORM,1,解析的勾配はないが数値微分が可能での事前確認: 反復誤差と初期値依存を避ける,S002;S056;S057;S018;S031;S060;S063;S054;S055,high,2026-07-13
CAM0005,EC004,ALT_SURROGATE,1,数値微分の評価コストが大きすぎるでの事前確認: 評価数削減,S033;S035;S002;S018;S031;S060;S063;S056;S034;S036;S037;S038;S059;S069;S075;S054;S055,high,2026-07-13
CAM0006,EC004,ALT_DECOMPOSITION,2,数値微分の評価コストが大きすぎるでの事前確認: memory/parallel性,S033;S035;S002;S018;S031;S060;S063;S056;S034;S036;S037;S038;S059;S069;S075;S054;S055,high,2026-07-13
CAM0007,EC005,ALT_STAT_INFERENCE,1,noiseを含むblack-box関数での事前確認: point optimumだけでなく不確実性,S032;S035;S059;S033;S040;S058;S074;S034;S036;S037;S038;S069;S075;S054;S055;S056,high,2026-07-13
CAM0008,EC005,ALT_SURROGATE,2,noiseを含むblack-box関数での事前確認: 評価数削減,S032;S035;S059;S033;S040;S058;S074;S034;S036;S037;S038;S069;S075;S054;S055;S056,high,2026-07-13
CAM0009,EC006,ALT_SURROGATE,1,一評価が数時間かかる低次元問題での事前確認: 評価数削減,S035;S059;S075;S034;S036;S037;S038;S069;S006;S007;S008;S009;S072;S073;S074;S054;S055;S056,medium,2026-07-13
CAM0010,EC006,ALT_STAT_INFERENCE,2,一評価が数時間かかる低次元問題での事前確認: point optimumだけでなく不確実性,S035;S059;S075;S034;S036;S037;S038;S069;S006;S007;S008;S009;S072;S073;S074;S054;S055;S056,medium,2026-07-13
CAM0011,EC007,ALT_DECOMPOSITION,1,高次元black-box問題での事前確認: memory/parallel性,S033;S035;S002;S018;S031;S060;S063;S056;S034;S036;S037;S038;S059;S069;S075;S054;S055,high,2026-07-13
CAM0012,EC007,ALT_SURROGATE,2,高次元black-box問題での事前確認: 評価数削減,S033;S035;S002;S018;S031;S060;S063;S056;S034;S036;S037;S038;S059;S069;S075;S054;S055,high,2026-07-13
CAM0013,EC008,ALT_GRAPH,1,0-1変数と線形制約での事前確認: 多項式時間構造を利用,S005;S016;S021;S024;S025;S028;S022;S053;S079;S054;S055;S056,high,2026-07-13
CAM0014,EC008,ALT_DYNAMIC_PROGRAMMING,2,0-1変数と線形制約での事前確認: 部分問題を再利用,S005;S016;S021;S024;S025;S028;S022;S053;S079;S054;S055;S056,high,2026-07-13
CAM0015,EC009,ALT_RELAXATION,1,整数変数と非線形目的での事前確認: 証明・bound,S021;S029;S005;S016;S024;S025;S028;S054;S055;S056,high,2026-07-13
CAM0016,EC009,ALT_DECOMPOSITION,2,整数変数と非線形目的での事前確認: memory/parallel性,S021;S029;S005;S016;S024;S025;S028;S054;S055;S056,high,2026-07-13
CAM0017,EC010,ALT_GRAPH,1,線形計画問題での事前確認: 多項式時間構造を利用,S004;S016;S055;S010;S012;S013;S014;S062;S054;S056,high,2026-07-13
CAM0018,EC010,ALT_SPECIALIZED,2,線形計画問題での事前確認: 保証・数値性・速度,S004;S016;S055;S010;S012;S013;S014;S062;S054;S056,high,2026-07-13
CAM0019,EC011,ALT_SPECIALIZED,1,凸二次計画問題での事前確認: 保証・数値性・速度,S012;S016;S062;S004;S010;S013;S014;S055;S054;S056,high,2026-07-13
CAM0020,EC011,ALT_PROJECTION_PROX,2,凸二次計画問題での事前確認: 非滑らか/制約構造を利用,S012;S016;S062;S004;S010;S013;S014;S055;S054;S056,high,2026-07-13
CAM0021,EC012,ALT_RELAXATION,1,非凸二次計画問題での事前確認: 証明・bound,S021;S024;S028;S005;S016;S025;S006;S007;S008;S009;S072;S073;S074;S056;S054;S055,high,2026-07-13
CAM0022,EC013,ALT_LEAST_SQUARES,1,非線形最小二乗問題での事前確認: Jacobian・残差構造を保持,S003;S041;S002;S056;S054;S055,high,2026-07-13
CAM0023,EC014,ALT_LEAST_SQUARES,1,外れ値を含むparameter推定での事前確認: Jacobian・残差構造を保持,S003;S041;S002;S056;S055;S061;S066;S067;S054,high,2026-07-13
CAM0024,EC014,ALT_STAT_INFERENCE,2,外れ値を含むparameter推定での事前確認: point optimumだけでなく不確実性,S003;S041;S002;S056;S055;S061;S066;S067;S054,high,2026-07-13
CAM0025,EC015,ALT_PROJECTION_PROX,1,単体上の最適化での事前確認: 非滑らか/制約構造を利用,S055;S066;S061;S067;S017;S029;S030;S056;S064;S054,high,2026-07-13
CAM0026,EC016,ALT_EIGEN,1,SO(3)上の最適化での事前確認: 行列構造を利用,S041;S044;S071;S045;S054;S055;S056,high,2026-07-13
CAM0027,EC016,ALT_SPECIALIZED,2,SO(3)上の最適化での事前確認: 保証・数値性・速度,S041;S044;S071;S045;S054;S055;S056,high,2026-07-13
CAM0028,EC017,ALT_STAT_INFERENCE,1,多目的最適化での事前確認: point optimumだけでなく不確実性,S039;S068;S055;S054;S056,high,2026-07-13
CAM0029,EC018,ALT_FEASIBILITY,1,schedulingでの事前確認: 可行解探索を独立,S022;S053;S079;S005;S016;S021;S024;S025;S028;S054;S055;S056,high,2026-07-13
CAM0030,EC018,ALT_DYNAMIC_PROGRAMMING,2,schedulingでの事前確認: 部分問題を再利用,S022;S053;S079;S005;S016;S021;S024;S025;S028;S054;S055;S056,high,2026-07-13
CAM0031,EC019,ALT_GRAPH,1,routingでの事前確認: 多項式時間構造を利用,S023;S024;S054;S022;S053;S079;S055;S056,high,2026-07-13
CAM0032,EC019,ALT_DYNAMIC_PROGRAMMING,2,routingでの事前確認: 部分問題を再利用,S023;S024;S054;S022;S053;S079;S055;S056,high,2026-07-13
CAM0033,EC020,ALT_SPECIALIZED,1,最適制御・軌道最適化での事前確認: 保証・数値性・速度,S042;S043;S076;S050;S054;S055;S056,high,2026-07-13
CAM0034,EC020,ALT_DECOMPOSITION,2,最適制御・軌道最適化での事前確認: memory/parallel性,S042;S043;S076;S050;S054;S055;S056,high,2026-07-13
CAM0035,EC021,ALT_STAT_INFERENCE,1,neural network学習での事前確認: point optimumだけでなく不確実性,S047;S048;S049;S070;S054;S055;S056,high,2026-07-13
CAM0036,EC021,ALT_DECOMPOSITION,2,neural network学習での事前確認: memory/parallel性,S047;S048;S049;S070;S054;S055;S056,high,2026-07-13
CAM0037,EC022,ALT_SURROGATE,1,hyperparameter最適化での事前確認: 評価数削減,S034;S035;S037;S038;S036;S059;S069;S075;S054;S055;S056,high,2026-07-13
CAM0038,EC022,ALT_STAT_INFERENCE,2,hyperparameter最適化での事前確認: point optimumだけでなく不確実性,S034;S035;S037;S038;S036;S059;S069;S075;S054;S055;S056,high,2026-07-13
CAM0039,EC023,ALT_SPECIALIZED,1,解の厳密な証明が必要での事前確認: 保証・数値性・速度,S005;S016;S021;S024;S025;S028;S022;S053;S079;S054;S055;S056,high,2026-07-13
CAM0040,EC024,ALT_FEASIBILITY,1,良い実行可能解を早く得ることが重要での事前確認: 可行解探索を独立,S023;S024;S054;S022;S053;S079;S055;S056,high,2026-07-13
CAM0041,EC024,ALT_GRAPH,2,良い実行可能解を早く得ることが重要での事前確認: 多項式時間構造を利用,S023;S024;S054;S022;S053;S079;S055;S056,high,2026-07-13
CAM0042,EC025,ALT_SPECIALIZED,1,反復MPCでの事前確認: 保証・数値性・速度,S012;S043;S076;S004;S010;S013;S014;S016;S055;S062;S054;S056,high,2026-07-13
CAM0043,EC026,ALT_DECOMPOSITION,1,PDE制約付き最適化での事前確認: memory/parallel性,S017;S019;S056;S002;S057;S003;S054;S055,high,2026-07-13
CAM0044,EC026,ALT_SPECIALIZED,2,PDE制約付き最適化での事前確認: 保証・数値性・速度,S017;S019;S056;S002;S057;S003;S054;S055,high,2026-07-13
CAM0045,EC027,ALT_FEASIBILITY,1,評価失敗を伴うsimulationでの事前確認: 可行解探索を独立,S031;S035;S002;S018;S060;S063;S034;S036;S037;S038;S059;S069;S075;S054;S055;S056,high,2026-07-13
CAM0046,EC027,ALT_SURROGATE,2,評価失敗を伴うsimulationでの事前確認: 評価数削減,S031;S035;S002;S018;S060;S063;S034;S036;S037;S038;S059;S069;S075;S054;S055;S056,high,2026-07-13
CAM0047,EC028,ALT_ROOT,1,求根問題を最適化に見せた例での事前確認: スカラー目的化を避ける,S080;S056;S002;S003;S041;S054;S055,high,2026-07-13
CAM0048,EC028,ALT_LEAST_SQUARES,2,求根問題を最適化に見せた例での事前確認: Jacobian・残差構造を保持,S080;S056;S002;S003;S041;S054;S055,high,2026-07-13
