case_method_map_id,case_id,method_id,role,fit_id,rationale,source_ids,confidence,last_verified
CMM0001,EC001,M_BFGS,first_choice,PMF00026,gradientを使うBFGSは評価効率がよく、dense curvatureが許容される。二階情報が正確ならtrust-exact。,S002;S056;S057,high,2026-07-13
CMM0002,EC001,M_TRUST_EXACT,second_choice,PMF00027,gradientを使うBFGSは評価効率がよく、dense curvatureが許容される。二階情報が正確ならtrust-exact。,S002;S056;S003,high,2026-07-13
CMM0003,EC001,M_DIFFERENTIAL_EVOLUTION,avoid,PMF00030,avoid: 高次元高価で構造なし;局所解で十分;証明必須なのにheuristicのみ / gradientを使うBFGSは評価効率がよく、dense curvatureが許容される。二階情報が正確ならtrust-exact。,S002;S056;S006;S007;S008;S009;S072;S073;S074,medium,2026-07-13
CMM0004,EC002,M_LBFGS,first_choice,PMF00031,dense Hessianを持たずlow-memory/HVPを利用。Nelder-Meadはn+1 geometryと評価数で不適。,S019;S046;S056;S002;S057;S065,high,2026-07-13
CMM0005,EC002,M_NEWTON_CG,second_choice,PMF00032,dense Hessianを持たずlow-memory/HVPを利用。Nelder-Meadはn+1 geometryと評価数で不適。,S019;S046;S056;S002;S057,high,2026-07-13
CMM0006,EC002,M_NELDER_MEAD,avoid,PMF00035,avoid: 高次元かつ高価;厳密大域証明;離散混合を無変換で扱う / dense Hessianを持たずlow-memory/HVPを利用。Nelder-Meadはn+1 geometryと評価数で不適。,S019;S046;S056;S002;S018;S031;S060;S063,medium,2026-07-13
CMM0007,EC003,M_BFGS,first_choice,PMF00026,O(n)程度の数値微分費が許容されるためBFGSを試せる。COBYQAは微分推定が不安定な場合。,S002;S056;S057,high,2026-07-13
CMM0008,EC003,M_COBYQA,second_choice,,O(n)程度の数値微分費が許容されるためBFGSを試せる。COBYQAは微分推定が不安定な場合。,S002;S056;S018;S031;S060;S063,high,2026-07-13
CMM0009,EC003,M_NEWTON,avoid,PMF00028,avoid: 不連続;評価ノイズが勾配を支配;離散変数 / O(n)程度の数値微分費が許容されるためBFGSを試せる。COBYQAは微分推定が不安定な場合。,S002;S056;S057,medium,2026-07-13
CMM0010,EC004,M_SPSA,first_choice,PMF00072,SPSAはgradient estimate当たり少数評価。低有効次元なら高次元BO。通常数値微分BFGSはbudget超過。,S033;S035;S002;S018;S031;S060;S063;S056,high,2026-07-13
CMM0011,EC004,M_TURBO_SAASBO,second_choice,PMF00071,SPSAはgradient estimate当たり少数評価。低有効次元なら高次元BO。通常数値微分BFGSはbudget超過。,S033;S035;S034;S036;S037;S038;S059;S069;S075,high,2026-07-13
CMM0012,EC004,M_BFGS,avoid,,avoid: 不連続;評価ノイズが勾配を支配;離散変数 / SPSAはgradient estimate当たり少数評価。低有効次元なら高次元BO。通常数値微分BFGSはbudget超過。,S033;S035;S002;S056;S057,medium,2026-07-13
CMM0013,EC005,M_CMA_ES,first_choice,PMF00062,CMA-ESはnoiseに比較的頑健。評価が高価ならnoise model付きBO。deterministic line searchは不安定。,S032;S035;S059;S033;S040;S058;S074,high,2026-07-13
CMM0014,EC005,M_BAYESIAN_OPT_GP,second_choice,PMF00063,CMA-ESはnoiseに比較的頑健。評価が高価ならnoise model付きBO。deterministic line searchは不安定。,S032;S035;S059;S034;S036;S037;S038;S069;S075,high,2026-07-13
CMM0015,EC005,M_BFGS,avoid,PMF00065,avoid: 不連続;評価ノイズが勾配を支配;離散変数 / CMA-ESはnoiseに比較的頑健。評価が高価ならnoise model付きBO。deterministic line searchは不安定。,S032;S035;S059;S002;S056;S057,medium,2026-07-13
CMM0016,EC006,M_BAYESIAN_OPT_GP,first_choice,PMF00066,surrogateで評価を選別。DIRECTはdeterministic baselineだが予算要注意。population法defaultは危険。,S035;S059;S075;S034;S036;S037;S038;S069,high,2026-07-13
CMM0017,EC006,M_DIRECT,second_choice,PMF00068,surrogateで評価を選別。DIRECTはdeterministic baselineだが予算要注意。population法defaultは危険。,S035;S059;S075;S006;S007;S008;S009;S072;S073;S074,high,2026-07-13
CMM0018,EC006,M_DIFFERENTIAL_EVOLUTION,avoid,PMF00070,avoid: 高次元高価で構造なし;局所解で十分;証明必須なのにheuristicのみ / surrogateで評価を選別。DIRECTはdeterministic baselineだが予算要注意。population法defaultは危険。,S035;S059;S075;S006;S007;S008;S009;S072;S073;S074,medium,2026-07-13
CMM0019,EC007,M_SPSA,first_choice,PMF00072,通常GP-BOを無条件に推さず、SPSAまたは有効次元仮定付きTuRBO/SAASBO。まず次元削減。,S033;S035;S002;S018;S031;S060;S063;S056,high,2026-07-13
CMM0020,EC007,M_TURBO_SAASBO,second_choice,PMF00071,通常GP-BOを無条件に推さず、SPSAまたは有効次元仮定付きTuRBO/SAASBO。まず次元削減。,S033;S035;S034;S036;S037;S038;S059;S069;S075,high,2026-07-13
CMM0021,EC007,M_BAYESIAN_OPT_GP,avoid,PMF00075,avoid: 評価が安価で大量可能;極端高次元;再現不能noiseを未model化 / 通常GP-BOを無条件に推さず、SPSAまたは有効次元仮定付きTuRBO/SAASBO。まず次元削減。,S033;S035;S034;S036;S037;S038;S059;S069;S075,medium,2026-07-13
CMM0022,EC008,M_BRANCH_CUT,first_choice,PMF00111,MILP/CP-SATでinteger feasibilityとboundをnativeに扱う。SQP連続緩和は不可。,S005;S016;S021;S024;S025;S028,high,2026-07-13
CMM0023,EC008,M_CP_SAT,second_choice,PMF00112,MILP/CP-SATでinteger feasibilityとboundをnativeに扱う。SQP連続緩和は不可。,S005;S016;S021;S024;S022;S053;S079,high,2026-07-13
CMM0024,EC008,M_SQP,avoid,PMF00115,avoid: 離散変数;不連続制約;強いノイズ / MILP/CP-SATでinteger feasibilityとboundをnativeに扱う。SQP連続緩和は不可。,S005;S016;S021;S024;S017;S029;S030;S056;S064,medium,2026-07-13
CMM0025,EC009,M_SPATIAL_BRANCH_BOUND,first_choice,PMF00121,nonconvex MINLPの証明には空間branch-and-bound。OAはconvex連続部分の条件付き。GAは候補解のみ。,S021;S029;S005;S016;S024;S025;S028,high,2026-07-13
CMM0026,EC009,M_OUTER_APPROX_MINLP,second_choice,PMF00122,nonconvex MINLPの証明には空間branch-and-bound。OAはconvex連続部分の条件付き。GAは候補解のみ。,S021;S029;S005;S016;S024;S025;S028,high,2026-07-13
CMM0027,EC009,M_GENETIC_ALGORITHM,avoid,PMF00124,avoid: 評価が極端に高価で低予算;厳密証明;高次元で構造利用可能 / nonconvex MINLPの証明には空間branch-and-bound。OAはconvex連続部分の条件付き。GAは候補解のみ。,S021;S029;S032;S033;S040;S058;S074,medium,2026-07-13
CMM0028,EC010,M_DUAL_SIMPLEX,first_choice,PMF00081,LP専用solverは大域性、dual、presolve、sparsityを提供。,S004;S016;S055;S010;S012;S013;S014;S062,high,2026-07-13
CMM0029,EC010,M_BARRIER_LP_QP,second_choice,PMF00083,LP専用solverは大域性、dual、presolve、sparsityを提供。,S004;S016;S055;S010;S012;S013;S014;S062,high,2026-07-13
CMM0030,EC010,M_SQP,avoid,PMF00085,avoid: 離散変数;不連続制約;強いノイズ / LP専用solverは大域性、dual、presolve、sparsityを提供。,S004;S016;S055;S017;S029;S030;S056;S064,medium,2026-07-13
CMM0031,EC011,M_ADMM_QP,first_choice,PMF00086,OSQP型はfactorization/warm start、active-setはactive set安定時に有力。汎用BFGSは構造/gapを失う。,S012;S016;S062;S004;S010;S013;S014;S055,high,2026-07-13
CMM0032,EC011,M_ACTIVE_SET_QP,second_choice,PMF00087,OSQP型はfactorization/warm start、active-setはactive set安定時に有力。汎用BFGSは構造/gapを失う。,S012;S016;S062;S004;S010;S013;S014;S055,high,2026-07-13
CMM0033,EC011,M_BFGS,avoid,PMF00090,avoid: 不連続;評価ノイズが勾配を支配;離散変数 / OSQP型はfactorization/warm start、active-setはactive set安定時に有力。汎用BFGSは構造/gapを失う。,S012;S016;S062;S002;S056;S057,medium,2026-07-13
CMM0034,EC012,M_SPATIAL_BRANCH_BOUND,first_choice,PMF00091,空間branch-and-boundでrelaxationとbound。multistartはincumbentのみ。凸QP用ADMMは前提違反。,S021;S024;S028;S005;S016;S025,high,2026-07-13
CMM0035,EC012,M_MULTISTART,second_choice,PMF00093,空間branch-and-boundでrelaxationとbound。multistartはincumbentのみ。凸QP用ADMMは前提違反。,S021;S024;S028;S006;S007;S008;S009;S072;S073;S074;S056,high,2026-07-13
CMM0036,EC012,M_ADMM_QP,avoid,,avoid: black-box;一般非凸を凸として誤分類;係数が不正確 / 空間branch-and-boundでrelaxationとbound。multistartはincumbentのみ。凸QP用ADMMは前提違反。,S021;S024;S028;S004;S010;S012;S013;S014;S016;S055;S062,medium,2026-07-13
CMM0037,EC013,M_LEVENBERG_MARQUARDT,first_choice,PMF00161,残差/Jacobian専用法がscalar目的DFOより評価・診断で優れる。,S003;S041;S002;S056,high,2026-07-13
CMM0038,EC013,M_GAUSS_NEWTON,second_choice,PMF00162,残差/Jacobian専用法がscalar目的DFOより評価・診断で優れる。,S003;S041;S002;S056,high,2026-07-13
CMM0039,EC013,M_NELDER_MEAD,avoid,PMF00165,avoid: 高次元かつ高価;厳密大域証明;離散混合を無変換で扱う / 残差/Jacobian専用法がscalar目的DFOより評価・診断で優れる。,S003;S041;S002;S018;S031;S060;S063,medium,2026-07-13
CMM0040,EC014,M_GAUSS_NEWTON,first_choice,PMF00276,robust loss付きleast-squaresを第一候補。厳密L1等なら非滑らか法。CMAは構造を捨てる。,S003;S041;S002;S056,high,2026-07-13
CMM0041,EC014,M_BUNDLE,second_choice,PMF00278,robust loss付きleast-squaresを第一候補。厳密L1等なら非滑らか法。CMAは構造を捨てる。,S003;S041;S055;S061;S066;S067;S056,high,2026-07-13
CMM0042,EC014,M_CMA_ES,avoid,PMF00280,avoid: 評価が極端に高価で低予算;厳密証明;高次元で構造利用可能 / robust loss付きleast-squaresを第一候補。厳密L1等なら非滑らか法。CMAは構造を捨てる。,S003;S041;S032;S033;S040;S058;S074,medium,2026-07-13
CMM0043,EC015,M_MIRROR_DESCENT,first_choice,PMF00176,entropy geometryのmirror descentまたはsimplex projection。無制約L-BFGSは可行性を維持しない。,S055;S066;S061;S067,high,2026-07-13
CMM0044,EC015,M_PROJECTED_GRADIENT,second_choice,PMF00177,entropy geometryのmirror descentまたはsimplex projection。無制約L-BFGSは可行性を維持しない。,S055;S066;S017;S029;S030;S056;S064,high,2026-07-13
CMM0045,EC015,M_LBFGS,avoid,PMF00180,avoid: 不連続;評価ノイズが勾配を支配;離散変数 / entropy geometryのmirror descentまたはsimplex projection。無制約L-BFGSは可行性を維持しない。,S055;S066;S002;S056;S057;S065,medium,2026-07-13
CMM0046,EC016,M_RIEMANNIAN_TRUST_REGION,first_choice,PMF00181,多様体法はintrinsic可行性を維持。Euler角BFGSはsingularity。,S041;S044;S071;S045,high,2026-07-13
CMM0047,EC016,M_RIEMANNIAN_GRADIENT,second_choice,PMF00182,多様体法はintrinsic可行性を維持。Euler角BFGSはsingularity。,S041;S044;S071;S045,high,2026-07-13
CMM0048,EC016,M_BFGS,avoid,PMF00184,avoid: 不連続;評価ノイズが勾配を支配;離散変数 / 多様体法はintrinsic可行性を維持。Euler角BFGSはsingularity。,S041;S044;S071;S002;S056;S057,medium,2026-07-13
CMM0049,EC017,M_NSGA_II,first_choice,PMF00186,NSGA-IIで近似Pareto集合。ε-constraintはbackendで系統的。weighted sumだけでは非凸front欠落。,S039;S068,high,2026-07-13
CMM0050,EC017,M_EPSILON_CONSTRAINT,second_choice,PMF00190,NSGA-IIで近似Pareto集合。ε-constraintはbackendで系統的。weighted sumだけでは非凸front欠落。,S039;S068;S055,high,2026-07-13
CMM0051,EC017,M_WEIGHTED_SUM,avoid,PMF00189,avoid: 実際には単一utilityが明確;評価予算が極小 / NSGA-IIで近似Pareto集合。ε-constraintはbackendで系統的。weighted sumだけでは非凸front欠落。,S039;S068;S055,medium,2026-07-13
CMM0052,EC018,M_CP_SAT,first_choice,PMF00126,global scheduling constraintsとpropagationを持つCP-SAT。MILPは定式化次第。,S022;S053;S079,high,2026-07-13
CMM0053,EC018,M_BRANCH_CUT,second_choice,PMF00128,global scheduling constraintsとpropagationを持つCP-SAT。MILPは定式化次第。,S022;S053;S005;S016;S021;S024;S025;S028,high,2026-07-13
CMM0054,EC018,M_GENETIC_ALGORITHM,avoid,PMF00130,avoid: 評価が極端に高価で低予算;厳密証明;高次元で構造利用可能 / global scheduling constraintsとpropagationを持つCP-SAT。MILPは定式化次第。,S022;S053;S032;S033;S040;S058;S074,medium,2026-07-13
CMM0055,EC019,M_LOCAL_SEARCH_COMBINATORIAL,first_choice,PMF00151,大規模・deadlineではrouting専用local search/heuristic。証明は通常優先しない。,S023;S024;S054,high,2026-07-13
CMM0056,EC019,M_CP_SAT,second_choice,PMF00152,大規模・deadlineではrouting専用local search/heuristic。証明は通常優先しない。,S023;S024;S022;S053;S079,high,2026-07-13
CMM0057,EC019,M_BRANCH_CUT,avoid,PMF00153,avoid: noiseを含むblack-box;曖昧なlogic;巨大Big-M / 大規模・deadlineではrouting専用local search/heuristic。証明は通常優先しない。,S023;S024;S005;S016;S021;S025;S028,medium,2026-07-13
CMM0058,EC020,M_DIRECT_COLLOCATION,first_choice,PMF00206,dynamics sparsityとdefectを保持するtranscription。flat BFGSは構造を失う。,S042;S043;S076;S050,high,2026-07-13
CMM0059,EC020,M_MULTIPLE_SHOOTING,second_choice,PMF00207,dynamics sparsityとdefectを保持するtranscription。flat BFGSは構造を失う。,S042;S043;S076;S050,high,2026-07-13
CMM0060,EC020,M_BFGS,avoid,,avoid: 不連続;評価ノイズが勾配を支配;離散変数 / dynamics sparsityとdefectを保持するtranscription。flat BFGSは構造を失う。,S042;S043;S076;S002;S056;S057,medium,2026-07-13
CMM0061,EC021,M_ADAMW,first_choice,PMF00196,GPU/stochastic gradient向けAdamWをbaseline、汎化重視ならmomentum SGD比較。,S047;S048;S049;S070,high,2026-07-13
CMM0062,EC021,M_MOMENTUM_SGD,second_choice,PMF00197,GPU/stochastic gradient向けAdamWをbaseline、汎化重視ならmomentum SGD比較。,S047;S048;S049;S070,high,2026-07-13
CMM0063,EC021,M_BFGS,avoid,,avoid: 不連続;評価ノイズが勾配を支配;離散変数 / GPU/stochastic gradient向けAdamWをbaseline、汎化重視ならmomentum SGD比較。,S047;S048;S049;S070;S002;S056;S057,medium,2026-07-13
CMM0064,EC022,M_TPE,first_choice,PMF00191,mixed conditional空間にTPE、fidelityがあればASHA。連続前提CMAのencodingは不自然。,S034;S035;S037;S038;S036;S059;S069;S075,high,2026-07-13
CMM0065,EC022,M_HYPERBAND_ASHA,second_choice,PMF00193,mixed conditional空間にTPE、fidelityがあればASHA。連続前提CMAのencodingは不自然。,S034;S035;S037;S038;S036;S059;S069;S075,high,2026-07-13
CMM0066,EC022,M_CMA_ES,avoid,,avoid: 評価が極端に高価で低予算;厳密証明;高次元で構造利用可能 / mixed conditional空間にTPE、fidelityがあればASHA。連続前提CMAのencodingは不自然。,S034;S035;S037;S038;S032;S033;S040;S058;S074,medium,2026-07-13
CMM0067,EC023,M_BRANCH_CUT,first_choice,PMF00111,incumbentとbound/gapを返すexact solver。GAは候補解で証明なし。,S005;S016;S021;S024;S025;S028,high,2026-07-13
CMM0068,EC023,M_CP_SAT,second_choice,PMF00112,incumbentとbound/gapを返すexact solver。GAは候補解で証明なし。,S005;S016;S021;S024;S022;S053;S079,high,2026-07-13
CMM0069,EC023,M_GENETIC_ALGORITHM,avoid,,avoid: 評価が極端に高価で低予算;厳密証明;高次元で構造利用可能 / incumbentとbound/gapを返すexact solver。GAは候補解で証明なし。,S005;S016;S021;S024;S032;S033;S040;S058;S074,medium,2026-07-13
CMM0070,EC024,M_LOCAL_SEARCH_COMBINATORIAL,first_choice,PMF00151,anytime heuristic/CPでincumbentを早く得る。global proof法だけに固執しない。,S023;S024;S054,high,2026-07-13
CMM0071,EC024,M_CP_SAT,second_choice,PMF00152,anytime heuristic/CPでincumbentを早く得る。global proof法だけに固執しない。,S023;S024;S022;S053;S079,high,2026-07-13
CMM0072,EC024,M_SPATIAL_BRANCH_BOUND,avoid,,avoid: noiseを含むblack-box;曖昧なlogic;巨大Big-M / anytime heuristic/CPでincumbentを早く得る。global proof法だけに固執しない。,S023;S024;S005;S016;S021;S025;S028,medium,2026-07-13
CMM0073,EC025,M_ADMM_QP,first_choice,PMF00211,factorization再利用/warm start/固定iterationが重要。大域population法はdeadline不適。,S012;S043;S076;S004;S010;S013;S014;S016;S055;S062,high,2026-07-13
CMM0074,EC025,M_ACTIVE_SET_QP,second_choice,,factorization再利用/warm start/固定iterationが重要。大域population法はdeadline不適。,S012;S043;S076;S004;S010;S013;S014;S016;S055;S062,high,2026-07-13
CMM0075,EC025,M_DIFFERENTIAL_EVOLUTION,avoid,,avoid: 高次元高価で構造なし;局所解で十分;証明必須なのにheuristicのみ / factorization再利用/warm start/固定iterationが重要。大域population法はdeadline不適。,S012;S043;S076;S006;S007;S008;S009;S072;S073;S074,medium,2026-07-13
CMM0076,EC026,M_NEWTON_CG,first_choice,PMF00221,adjoint/HVPとKrylov/preconditionerでmatrix-free。population法は評価budget不適。,S017;S019;S056;S002;S057,high,2026-07-13
CMM0077,EC026,M_TRUST_KRYLOV,second_choice,PMF00222,adjoint/HVPとKrylov/preconditionerでmatrix-free。population法は評価budget不適。,S017;S019;S056;S002;S003,high,2026-07-13
CMM0078,EC026,M_DIFFERENTIAL_EVOLUTION,avoid,PMF00225,avoid: 高次元高価で構造なし;局所解で十分;証明必須なのにheuristicのみ / adjoint/HVPとKrylov/preconditionerでmatrix-free。population法は評価budget不適。,S017;S019;S056;S006;S007;S008;S009;S072;S073;S074,medium,2026-07-13
CMM0079,EC027,M_MADS,first_choice,PMF00076,failure-aware direct search/feasibility処理。gradient法はnonfiniteで破綻。,S031;S035;S002;S018;S060;S063,high,2026-07-13
CMM0080,EC027,M_RANDOM_SEARCH,second_choice,PMF00077,failure-aware direct search/feasibility処理。gradient法はnonfiniteで破綻。,S031;S035;S034;S036;S037;S038;S059;S069;S075,high,2026-07-13
CMM0081,EC027,M_BFGS,avoid,PMF00080,avoid: 不連続;評価ノイズが勾配を支配;離散変数 / failure-aware direct search/feasibility処理。gradient法はnonfiniteで破綻。,S031;S035;S002;S056;S057,medium,2026-07-13
CMM0082,EC028,M_GAUSS_NEWTON,first_choice,PMF00016,まずroot solver。overdetermined/noisyならleast-squares。大域heuristicは構造を浪費。,S080;S056;S002;S003;S041,high,2026-07-13
CMM0083,EC028,M_LEVENBERG_MARQUARDT,second_choice,PMF00017,まずroot solver。overdetermined/noisyならleast-squares。大域heuristicは構造を浪費。,S080;S056;S002;S003;S041,high,2026-07-13
CMM0084,EC028,M_DIFFERENTIAL_EVOLUTION,avoid,,avoid: 高次元高価で構造なし;局所解で十分;証明必須なのにheuristicのみ / まずroot solver。overdetermined/noisyならleast-squares。大域heuristicは構造を浪費。,S080;S056;S006;S007;S008;S009;S072;S073;S074,medium,2026-07-13
