feature_value_id,feature_id,value_code,label_ja,label_en,sort_order,definition,lower_bound,upper_bound,unit,conditions,notes
FV0001,F_VARIABLE_DOMAIN,continuous,連続,Continuous,1,連続,,,,,
FV0002,F_VARIABLE_DOMAIN,integer,整数,Integer,2,整数,,,,,
FV0003,F_VARIABLE_DOMAIN,binary,0-1,Binary,3,0-1,,,,,
FV0004,F_VARIABLE_DOMAIN,categorical,カテゴリ,Categorical,4,カテゴリ,,,,,
FV0005,F_VARIABLE_DOMAIN,mixed,混合,Mixed,5,混合,,,,,
FV0006,F_VARIABLE_DOMAIN,matrix,行列,Matrix,6,行列,,,,,
FV0007,F_VARIABLE_DOMAIN,psd_matrix,半正定値行列,PSD matrix,7,半正定値行列,,,,,
FV0008,F_VARIABLE_DOMAIN,manifold,多様体,Manifold,8,多様体,,,,,
FV0009,F_VARIABLE_DOMAIN,trajectory,軌道,Trajectory,9,軌道,,,,,
FV0010,F_VARIABLE_DOMAIN,graph,グラフ,Graph,10,グラフ,,,,,
FV0011,F_OBJECTIVE_FORM,linear,線形,Linear,1,線形,,,,,
FV0012,F_OBJECTIVE_FORM,quadratic,二次,Quadratic,2,二次,,,,,
FV0013,F_OBJECTIVE_FORM,sum_of_squares,二乗和,Sum of squares,3,二乗和,,,,,
FV0014,F_OBJECTIVE_FORM,composite,複合,Composite,4,複合,,,,,
FV0015,F_OBJECTIVE_FORM,general_nonlinear,一般非線形,General nonlinear,5,一般非線形,,,,,
FV0016,F_OBJECTIVE_FORM,simulation,シミュレーション,Simulation,6,シミュレーション,,,,,
FV0017,F_OBJECTIVE_FORM,equation_residual,方程式残差,Equation residual,7,方程式残差,,,,,
FV0018,F_OBJECTIVE_FORM,multiobjective,複数目的,Multiobjective,8,複数目的,,,,,
FV0019,F_CONVEXITY,convex,凸,Convex,1,凸,,,,,
FV0020,F_CONVEXITY,strongly_convex,強凸,Strongly convex,2,強凸,,,,,
FV0021,F_CONVEXITY,quasiconvex,準凸,Quasiconvex,3,準凸,,,,,
FV0022,F_CONVEXITY,nonconvex,非凸,Nonconvex,4,非凸,,,,,
FV0023,F_CONVEXITY,unknown,不明,Unknown,5,不明,,,,,
FV0024,F_SMOOTHNESS,smooth,滑らか,Smooth,1,滑らか,,,,,
FV0025,F_SMOOTHNESS,piecewise_smooth,区分的滑らか,Piecewise smooth,2,区分的滑らか,,,,,
FV0026,F_SMOOTHNESS,nonsmooth,非滑らか,Nonsmooth,3,非滑らか,,,,,
FV0027,F_SMOOTHNESS,discontinuous,不連続,Discontinuous,4,不連続,,,,,
FV0028,F_SMOOTHNESS,discrete_valued,離散値,Discrete-valued,5,離散値,,,,,
FV0029,F_SMOOTHNESS,unknown,不明,Unknown,6,不明,,,,,
FV0030,F_DERIVATIVE_ACCESS,analytic_gradient,解析勾配,Analytic gradient,1,解析勾配,,,,,
FV0031,F_DERIVATIVE_ACCESS,automatic_differentiation,自動微分,Automatic differentiation,2,自動微分,,,,,
FV0032,F_DERIVATIVE_ACCESS,numerical_difference,数値微分,Numerical difference,3,数値微分,,,,,
FV0033,F_DERIVATIVE_ACCESS,stochastic_gradient,確率勾配,Stochastic gradient,4,確率勾配,,,,,
FV0034,F_DERIVATIVE_ACCESS,subgradient,劣勾配,Subgradient,5,劣勾配,,,,,
FV0035,F_DERIVATIVE_ACCESS,jacobian,Jacobian,Jacobian,6,Jacobian,,,,,
FV0036,F_DERIVATIVE_ACCESS,hessian_vector_product,Hessian-vector積,HVP,7,Hessian-vector積,,,,,
FV0037,F_DERIVATIVE_ACCESS,none_available,なし,None,8,なし,,,,,
FV0038,F_DERIVATIVE_ACCESS,not_differentiable,微分不能,Not differentiable,9,微分不能,,,,,
FV0039,F_DERIVATIVE_ACCESS,unreliable,不可信,Unreliable,10,不可信,,,,,
FV0040,F_DERIVATIVE_ACCESS,unknown,不明,Unknown,11,不明,,,,,
FV0041,F_CONSTRAINT_CLASS,unconstrained,制約なし,Unconstrained,1,制約なし,,,,,
FV0042,F_CONSTRAINT_CLASS,bounds,上下限,Bounds,2,上下限,,,,,
FV0043,F_CONSTRAINT_CLASS,linear,線形,Linear,3,線形,,,,,
FV0044,F_CONSTRAINT_CLASS,nonlinear,非線形,Nonlinear,4,非線形,,,,,
FV0045,F_CONSTRAINT_CLASS,mixed,混合,Mixed,5,混合,,,,,
FV0046,F_CONSTRAINT_CLASS,logical,論理,Logical,6,論理,,,,,
FV0047,F_CONSTRAINT_CLASS,combinatorial,組合せ,Combinatorial,7,組合せ,,,,,
FV0048,F_CONSTRAINT_CLASS,conic,錐,Conic,8,錐,,,,,
FV0049,F_CONSTRAINT_CLASS,semidefinite,半正定値,Semidefinite,9,半正定値,,,,,
FV0050,F_CONSTRAINT_CLASS,manifold,多様体,Manifold,10,多様体,,,,,
FV0051,F_CONSTRAINT_CLASS,dynamics,動力学,Dynamics,11,動力学,,,,,
FV0052,F_CONSTRAINT_CLASS,implicit,暗黙,Implicit,12,暗黙,,,,,
FV0053,F_DIMENSION_CONTEXT,very_low,非常に低い,Very low,1,非常に低い,,,,,
FV0054,F_DIMENSION_CONTEXT,low,低い,Low,2,低い,,,,,
FV0055,F_DIMENSION_CONTEXT,medium,中,Medium,3,中,,,,,
FV0056,F_DIMENSION_CONTEXT,high,高い,High,4,高い,,,,,
FV0057,F_DIMENSION_CONTEXT,very_high,非常に高い,Very high,5,非常に高い,,,,,
FV0058,F_DIMENSION_CONTEXT,huge_sparse,巨大疎,Huge sparse,6,巨大疎,,,,,
FV0059,F_EVALUATION_COST,cheap,安価,Cheap,1,安価,,,,,
FV0060,F_EVALUATION_COST,moderate,中程度,Moderate,2,中程度,,,,,
FV0061,F_EVALUATION_COST,expensive,高価,Expensive,3,高価,,,,,
FV0062,F_EVALUATION_COST,very_expensive,非常に高価,Very expensive,4,非常に高価,,,,,
FV0063,F_NOISE_LEVEL,deterministic,決定論的,Deterministic,1,決定論的,,,,,
FV0064,F_NOISE_LEVEL,small_noise,小ノイズ,Small noise,2,小ノイズ,,,,,
FV0065,F_NOISE_LEVEL,moderate_noise,中ノイズ,Moderate noise,3,中ノイズ,,,,,
FV0066,F_NOISE_LEVEL,large_noise,大ノイズ,Large noise,4,大ノイズ,,,,,
FV0067,F_NOISE_LEVEL,unknown,不明,Unknown,5,不明,,,,,
FV0068,F_SOLUTION_GOAL,local_stationary,局所停留点,Local stationary,1,局所停留点,,,,,
FV0069,F_SOLUTION_GOAL,convex_global,凸大域,Convex global,2,凸大域,,,,,
FV0070,F_SOLUTION_GOAL,global_candidate,大域候補,Global candidate,3,大域候補,,,,,
FV0071,F_SOLUTION_GOAL,global_proof,大域証明,Global proof,4,大域証明,,,,,
FV0072,F_SOLUTION_GOAL,optimality_gap,最適性gap,Optimality gap,5,最適性gap,,,,,
FV0073,F_SOLUTION_GOAL,feasible_only,可行解優先,Feasible only,6,可行解優先,,,,,
FV0074,F_SOLUTION_GOAL,pareto_set,Pareto集合,Pareto set,7,Pareto集合,,,,,
FV0075,F_SCALE_STRUCTURE,dense,密,Dense,1,密,,,,,
FV0076,F_SCALE_STRUCTURE,sparse,疎,Sparse,2,疎,,,,,
FV0077,F_SCALE_STRUCTURE,block,ブロック,Block,3,ブロック,,,,,
FV0078,F_SCALE_STRUCTURE,separable,分離可能,Separable,4,分離可能,,,,,
FV0079,F_SCALE_STRUCTURE,low_rank,低ランク,Low rank,5,低ランク,,,,,
FV0080,F_EVALUATION_RELIABILITY,reliable,安定,Reliable,1,安定,,,,,
FV0081,F_EVALUATION_RELIABILITY,nondeterministic,非決定,Nondeterministic,2,非決定,,,,,
FV0082,F_EVALUATION_RELIABILITY,occasional_failure,時々失敗,Occasional failure,3,時々失敗,,,,,
FV0083,F_EVALUATION_RELIABILITY,frequent_failure,頻繁に失敗,Frequent failure,4,頻繁に失敗,,,,,
FV0084,F_EVALUATION_RELIABILITY,timeout_possible,timeoutあり,Timeout possible,5,timeoutあり,,,,,
FV0085,F_REPEATED_SOLVE,one_off,単発,One-off,1,単発,,,,,
FV0086,F_REPEATED_SOLVE,repeated_similar,類似問題反復,Repeated similar,2,類似問題反復,,,,,
FV0087,F_REPEATED_SOLVE,online,オンライン,Online,3,オンライン,,,,,
FV0088,F_REPEATED_SOLVE,real_time,実時間,Real-time,4,実時間,,,,,
FV0089,F_PARALLEL_BUDGET,serial,逐次,Serial,1,逐次,,,,,
FV0090,F_PARALLEL_BUDGET,small_parallel,小規模並列,Small parallel,2,小規模並列,,,,,
FV0091,F_PARALLEL_BUDGET,massive_parallel,大量並列,Massive parallel,3,大量並列,,,,,
FV0092,F_PARALLEL_BUDGET,distributed,分散,Distributed,4,分散,,,,,
FV0093,F_OBJECTIVE_FORM,discrete,離散目的,Discrete objective,8,離散構造・組合せ構造によって定義される目的。,,,,combinatorial or discrete decision structure,v0.2.0: existing case values were promoted from free text to controlled enum.
