term_id,term_ja,term_en,definition,common_confusion,related_entity_ids,source_ids,confidence,last_verified
G001,最適化問題,Optimization problem,目的関数を変数と制約の下で最小化または最大化する問題。,求根・方程式・可行性・推定と同一とは限らない。,,S054;S055;S056,high,2026-07-13
G002,問題アーキタイプ,Problem archetype,繰り返し現れる問題構造を代表する再利用可能な型。,個別instanceそのものではない。,,S054;S055;S056,high,2026-07-13
G003,問題特徴,Problem feature,変数型、凸性、微分、noise、費用、保証等の選択軸。,一つの問題class名に押し込まない。,,S054;S055;S056,high,2026-07-13
G004,手法family,Method family,共通原理を持つ上位概念。,API指定名と同じ階層ではない。,,S054;S055;S056,high,2026-07-13
G005,algorithm変種,Algorithm variant,一般手法の具体的な更新則・制約対応・subproblem解法。,library実装とは分離。,,S054;S055;S056,high,2026-07-13
G006,実装,Implementation,library/solver/APIとして提供されるsoftware実体。,理論上の手法と機能・数値挙動が一致するとは限らない。,,S054;S055;S056,high,2026-07-13
G007,適用可能性,Applicability,数学的前提を満たし手法を使えること。,実務上の推奨とは別。,,S054;S055;S056,high,2026-07-13
G008,実務推奨,Practical recommendation,費用・安定性・使いやすさ・diagnosticを含む条件付き推薦。,理論上可能というだけでは推薦しない。,,S054;S055;S056,high,2026-07-13
G009,局所解,Local optimum,近傍内でより良い可行解がない解。,非凸で大域解とは限らない。,,S054;S055;S056,high,2026-07-13
G010,大域解,Global optimum,全可行領域で最良の解。,global searchの出力が自動的に大域解ではない。,,S054;S055;S056,high,2026-07-13
G011,大域候補,Global candidate,大域探索により得た良い候補だが証明はない解。,certificateを持たない。,,S054;S055;S056,high,2026-07-13
G012,最適性証明,Optimality certificate,dual bound、gap、KKT/convexity等で最適性を裏付ける量。,局所KKTは非凸大域証明ではない。,,S054;S055;S056,high,2026-07-13
G013,最適性gap,Optimality gap,incumbentとvalid boundの差。,solverごとの相対gap定義を確認。,,S054;S055;S056,high,2026-07-13
G014,primal bound,Primal bound,既知の可行解の目的値によるbound。,minimizationでは通常upper bound。,,S054;S055;S056,high,2026-07-13
G015,dual bound,Dual bound,relaxation/dualから得るvalid bound。,minimizationでは通常lower bound。,,S054;S055;S056,high,2026-07-13
G016,可行解,Feasible solution,全制約を許容差内で満たす解。,solver success flagだけで判定しない。,,S054;S055;S056,high,2026-07-13
G017,KKT条件,Karush-Kuhn-Tucker conditions,滑らかな制約問題の一階最適性条件。,正則性と凸性により意味が変わる。,,S054;S055;S056,high,2026-07-13
G018,stationarity,Stationarity,許容方向に一階改善方向がない状態。,大域最適性とは限らない。,,S054;S055;S056,high,2026-07-13
G019,凸問題,Convex problem,凸目的と凸可行集合を持つ最小化問題。,変数変換後やdomainを含めて確認。,,S054;S055;S056,high,2026-07-13
G020,強凸,Strong convexity,目的が二次的な下側曲率を持つ性質。,数値的条件の良さと同一ではない。,,S054;S055;S056,high,2026-07-13
G021,非凸,Nonconvex,凸性を満たさず局所解やsaddleを持ち得る問題。,すべてが多峰性とは限らない。,,S054;S055;S056,high,2026-07-13
G022,smooth,Smooth,必要階数の導関数が連続に存在する性質。,gradient未提供と非smoothは別。,,S054;S055;S056,high,2026-07-13
G023,非smooth,Nonsmooth,kink等で通常のgradientが存在しない点を持つ。,不連続とは別。,,S054;S055;S056,high,2026-07-13
G024,不連続,Discontinuous,関数値が連続でない。,derivative-freeなら常に安全という意味ではない。,,S054;S055;S056,high,2026-07-13
G025,解析勾配,Analytic gradient,利用者が式・codeとして提供するgradient。,正しいとは限らず検査が必要。,,S054;S055;S056,high,2026-07-13
G026,自動微分,Automatic differentiation,計算graphへchain ruleを機械適用する微分。,symbolic/finite differenceとは異なる。,,S054;S055;S056,high,2026-07-13
G027,数値微分,Numerical differentiation,関数値差等でderivativeを近似する。,評価可能でも実用的とは限らない。,,S054;S055;S056,high,2026-07-13
G028,complex-step微分,Complex-step differentiation,複素摂動の虚部から一階微分を高精度推定。,codeが複素数・非解析operationに対応する必要。,,S054;S055;S056,high,2026-07-13
G029,劣勾配,Subgradient,凸非smooth関数のgradient一般化。,任意の非凸非smooth関数へ同じ保証では使えない。,,S054;S055;S056,high,2026-07-13
G030,Jacobian,Jacobian,vector値関数の一階偏微分行列。,残差/制約のどちらのJacobianか明示。,,S054;S055;S056,high,2026-07-13
G031,Hessian,Hessian,scalar関数の二階偏微分行列。,Lagrangian Hessianと目的Hessianを区別。,,S054;S055;S056,high,2026-07-13
G032,Hessian-vector積,Hessian-vector product,Hessianを形成せずvectorへ作用させる演算。,dense Hessianが得られることと同一ではない。,,S054;S055;S056,high,2026-07-13
G033,black-box最適化,Black-box optimization,内部式を十分利用せず評価interfaceから最適化する総称。,単一problem classではない。,,S054;S055;S056,high,2026-07-13
G034,derivative-free optimization,Derivative-free optimization,明示的derivativeを使わない最適化。,Bayesian optimizationだけを指さない。,,S054;S055;S056,high,2026-07-13
G035,direct search,Direct search,poll/pattern/simplex等で直接候補点を評価するDFO。,population evolutionaryと同一ではない。,,S054;S055;S056,high,2026-07-13
G036,Bayesian optimization,Bayesian optimization,probabilistic surrogateとacquisitionで評価点を選ぶ。,posterior uncertaintyは最適性証明ではない。,,S054;S055;S056,high,2026-07-13
G037,surrogate model,Surrogate model,高価な関数を近似する統計・機械学習model。,真の目的と置換したまま検証しないのは危険。,,S054;S055;S056,high,2026-07-13
G038,acquisition function,Acquisition function,surrogateに基づき次の評価価値を定義する関数。,acquisition自身の最適化失敗に注意。,,S054;S055;S056,high,2026-07-13
G039,noise,Evaluation noise,同一点でも評価値が変動する性質。,deterministicな数値誤差/timeoutと分ける。,,S054;S055;S056,high,2026-07-13
G040,evaluation failure,Evaluation failure,NaN、exception、simulation crash等で有効値が得られない事象。,単なる大きい目的値とは異なる。,,S054;S055;S056,high,2026-07-13
G041,evaluation budget,Evaluation budget,実評価回数・時間・resourceの上限。,iteration limitとは別。,,S054;S055;S056,high,2026-07-13
G042,iteration,Iteration,algorithmの更新単位。,一反復の評価数・線形代数費は手法で異なる。,,S054;S055;S056,high,2026-07-13
G043,wall-clock time,Wall-clock time,parallelismや待ち時間を含む実経過時間。,CPU time/評価回数と別。,,S054;S055;S056,high,2026-07-13
G044,warm start,Warm start,前回解・basis・factorization・stateを初期化に再利用。,problem変化で逆効果もある。,,S054;S055;S056,high,2026-07-13
G045,anytime algorithm,Anytime algorithm,中断時にも可行/候補解を返し時間とともに改善。,常にvalid boundを返すとは限らない。,,S054;S055;S056,high,2026-07-13
G046,sparsity,Sparsity,matrix/Jacobian/Hessianの多くがzeroである構造。,保存形式だけでなくsolverが利用するか確認。,,S054;S055;S056,high,2026-07-13
G047,block structure,Block structure,変数・制約・scenario・時間に分離blockがある性質。,自動的に並列化されるとは限らない。,,S054;S055;S056,high,2026-07-13
G048,conditioning,Conditioning,入力誤差・丸めに対する解/計算の感度。,algorithm収束率だけの意味ではない。,,S054;S055;S056,high,2026-07-13
G049,scaling,Scaling,変数・目的・制約の代表桁を調整すること。,最適解の意味を変えない変換とweight変更を区別。,,S054;S055;S056,high,2026-07-13
G050,preconditioning,Preconditioning,線形系/gradient幾何を変換して条件を改善。,単なるdata normalizationより広い。,,S054;S055;S056,high,2026-07-13
G051,line search,Line search,探索方向上のstep lengthを選ぶ大域化。,一変数global optimizationとは別。,,S054;S055;S056,high,2026-07-13
G052,trust region,Trust region,局所modelを信頼する領域内でstepを選ぶ。,parameter boundsとは別。,,S054;S055;S056,high,2026-07-13
G053,quasi-Newton,Quasi-Newton method,gradient差からHessian/逆Hessianを近似。,Newton法と同じ二階情報を要求しない。,,S054;S055;S056,high,2026-07-13
G054,proximal operator,Proximal operator,関数と二乗距離の和の近接最小化写像。,一般目的全体を解くことと同じではない。,,S054;S055;S056,high,2026-07-13
G055,projection,Projection,点を可行集合の最近点等へ写す操作。,非凸集合では一意とは限らない。,,S054;S055;S056,high,2026-07-13
G056,ADMM,Alternating direction method of multipliers,分離問題をprimal更新とdual更新に分ける手法。,任意の非凸問題で大域保証はない。,,S054;S055;S056,high,2026-07-13
G057,penalty method,Penalty method,制約違反を目的へ加える。,有限penaltyで可行性が保証されない場合。,,S054;S055;S056,high,2026-07-13
G058,barrier method,Barrier method,制約境界へ近づくcostを加えて内部から解く。,初期strict feasibilityの要否は実装で異なる。,,S054;S055;S056,high,2026-07-13
G059,Lagrangian relaxation,Lagrangian relaxation,一部制約をdual multiplierで目的へ移す緩和。,単なるpenalty tuningとは異なる。,,S054;S055;S056,high,2026-07-13
G060,LP,Linear programming,線形目的・線形制約の連続最適化。,integer変数を含むとMILP。,,S054;S055;S056,high,2026-07-13
G061,QP,Quadratic programming,二次目的と通常線形制約の問題。,QがPSDか非凸かで保証が変わる。,,S054;S055;S056,high,2026-07-13
G062,QCQP,Quadratically constrained quadratic program,二次目的・二次制約を持つ問題。,convex/nonconvexを区別。,,S054;S055;S056,high,2026-07-13
G063,conic optimization,Conic optimization,cone membershipで制約を表す凸最適化。,すべての非線形制約を自動的に扱うわけではない。,,S054;S055;S056,high,2026-07-13
G064,SOCP,Second-order cone program,二次cone制約を持つ凸問題。,一般nonconvex quadratic制約とは別。,,S054;S055;S056,high,2026-07-13
G065,SDP,Semidefinite program,半正定値matrix変数/制約を持つ凸問題。,大規模でmemoryが課題。,,S054;S055;S056,high,2026-07-13
G066,MILP,Mixed-integer linear program,連続/整数変数と線形目的・制約。,Big-M定式化品質が重要。,,S054;S055;S056,high,2026-07-13
G067,MINLP,Mixed-integer nonlinear program,整数と非線形を併せ持つ問題。,凸MINLPと非凸global MINLPを区別。,,S054;S055;S056,high,2026-07-13
G068,branch-and-bound,Branch and bound,領域分枝とvalid boundで探索をprune。,有限時間で証明完了するとは限らない。,,S054;S055;S056,high,2026-07-13
G069,branch-and-cut,Branch and cut,branch-and-boundへcut生成を統合。,cut数が多ければ常に良いわけではない。,,S054;S055;S056,high,2026-07-13
G070,CP-SAT,Constraint programming with SAT techniques,整数/Boolean制約をpropagation・learning等で解く。,実数variableをnativeには扱わない。,,S054;S055;S056,high,2026-07-13
G071,dynamic programming,Dynamic programming,最適部分構造をBellman再帰で利用。,state explosionに注意。,,S054;S055;S056,high,2026-07-13
G072,nonlinear least squares,Nonlinear least squares,残差vectorの二乗和を最小化。,一般scalar目的へ潰すと構造を失う。,,S054;S055;S056,high,2026-07-13
G073,robust loss,Robust loss,外れ値の影響を抑える損失。,robust optimizationの不確実性集合とは別。,,S054;S055;S056,high,2026-07-13
G074,manifold optimization,Manifold optimization,多様体の接空間・retractionを用いる最適化。,単にequalitiesをpenalty化する方法とは別。,,S054;S055;S056,high,2026-07-13
G075,optimal control,Optimal control,動力学下でstate/control trajectoryを最適化。,static NLPへflat化するだけでは構造を失う。,,S054;S055;S056,high,2026-07-13
G076,direct collocation,Direct collocation,mesh上のstate/controlとdynamics defectを同時最適化。,simulation-only shootingとは異なる。,,S054;S055;S056,high,2026-07-13
G077,multiobjective optimization,Multi-objective optimization,複数目的のPareto trade-offを扱う。,weight付き和一回だけでは集合を表さない。,,S054;S055;S056,high,2026-07-13
G078,Pareto dominance,Pareto dominance,全目的で悪化せず少なくとも一つ改善する関係。,目的方向と許容差を明示。,,S054;S055;S056,high,2026-07-13
G079,hypervolume,Hypervolume,reference pointまでの支配volumeでPareto集合を評価。,reference point/normalizationに依存。,,S054;S055;S056,high,2026-07-13
G080,hyperparameter optimization,Hyperparameter optimization,学習/algorithmの外側parameterをblack-box評価で選ぶ。,model weightsの通常trainingとは別。,,S054;S055;S056,high,2026-07-13
G081,multi-fidelity,Multi-fidelity optimization,低cost近似・少resource評価を組み合わせる。,fidelity間順位が保存されるとは限らない。,,S054;S055;S056,high,2026-07-13
G082,unknown,Unknown,確認に必要な根拠が不足している状態。,noではない。,,S054;S055;S056,high,2026-07-13
G083,not_applicable,Not applicable,概念が対象に意味を持たない状態。,unknownではない。,,S054;S055;S056,high,2026-07-13
G084,implementation_dependent,Implementation dependent,software/version/option/backendで値が変わる状態。,曖昧なyes/noで固定しない。,,S054;S055;S056,high,2026-07-13
